"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.001,0.0114,0.4629,-0.0233,-0.0197,-0.001,0.0177,0.0212
"L ant. Caudate",-0.003,0.0116,0.396,-0.0259,-0.022,-0.0031,0.0161,0.0196
"L ant. dorsal Insula",0.0023,0.0114,0.579,-0.0202,-0.0164,0.0022,0.021,0.0247
"L ant. Hippocampus",-0.028,0.0137,0.0185,-0.0555,-0.0509,-0.0278,-0.0059,-0.0018
"L ant. MCC",-0.0069,0.0122,0.2867,-0.0311,-0.0273,-0.0068,0.013,0.0167
"L ant. Putamen",-0.0072,0.0122,0.2758,-0.031,-0.0271,-0.0073,0.0129,0.0167
"L ant. Thalamus",-0.0076,0.0117,0.2577,-0.0307,-0.0269,-0.0076,0.0117,0.0157
"L ant. ventral Insula",-0.0053,0.0123,0.3332,-0.0295,-0.0255,-0.0054,0.015,0.0187
"L BLBM Amygdala",-0.014,0.0127,0.1358,-0.039,-0.0349,-0.0139,0.0067,0.0108
"L BST",-0.0104,0.0146,0.2346,-0.0392,-0.0344,-0.0103,0.0134,0.018
"L CeMe Amygdala",-0.0258,0.0145,0.0342,-0.055,-0.05,-0.0257,-0.0022,0.0019
"L Crus II",0.0012,0.0115,0.5406,-0.0211,-0.0176,0.0012,0.0205,0.024
"L dlPFC",0.0133,0.0128,0.8514,-0.0116,-0.0076,0.0134,0.0344,0.0386
"L Hippocampus body",-0.0295,0.012,0.0074,-0.0531,-0.0491,-0.0294,-0.0099,-0.0063
"L Hippocampus tail",-0.0237,0.012,0.0242,-0.0476,-0.0436,-0.0237,-0.004,-2e-04
"L Hypothalamus",-0.0097,0.0139,0.2398,-0.0369,-0.0327,-0.0098,0.0132,0.0177
"L lat. OFC",-0.0074,0.0128,0.2815,-0.0328,-0.0286,-0.0074,0.0137,0.0178
"L Lobule IX",0.0042,0.0116,0.6425,-0.0186,-0.0149,0.0042,0.0234,0.0271
"L med. OFC",-0.0069,0.012,0.2824,-0.0304,-0.0265,-0.0069,0.0127,0.0167
"L mid/post Insula",-0.0164,0.0107,0.0634,-0.0376,-0.0342,-0.0164,0.0013,0.0049
"L PAG",-0.0033,0.0135,0.4003,-0.0296,-0.0252,-0.0034,0.0192,0.0238
"L PCC",-0.0151,0.0137,0.1339,-0.0421,-0.0378,-0.0149,0.0073,0.0116
"L PCC/precuneus",-0.0117,0.0146,0.2111,-0.0403,-0.0356,-0.0117,0.0126,0.0174
"L post. Caudate",0.008,0.0127,0.7362,-0.0167,-0.0127,0.0079,0.0289,0.0329
"L post. Putamen",-0.0224,0.0129,0.0416,-0.0478,-0.0435,-0.0223,-0.0012,0.0031
"L post. Thalamus",-0.0318,0.0116,0.0026,-0.0543,-0.0507,-0.0318,-0.0128,-0.009
