"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.0013,0.0113,0.5501,-0.0211,-0.0174,0.0013,0.0197,0.0233
"L ant. Caudate",6e-04,0.0115,0.5222,-0.0221,-0.0185,7e-04,0.0192,0.0231
"L ant. dorsal Insula",5e-04,0.0117,0.5154,-0.0223,-0.0188,5e-04,0.0196,0.0232
"L ant. Hippocampus",0.0259,0.013,0.977,5e-04,0.0045,0.0258,0.0475,0.0517
"L ant. MCC",-4e-04,0.0122,0.4895,-0.0244,-0.0205,-3e-04,0.0195,0.0231
"L ant. Putamen",-0.0073,0.0123,0.2776,-0.032,-0.0278,-0.0072,0.0127,0.0162
"L ant. Thalamus",0.0111,0.012,0.8216,-0.0126,-0.0087,0.0111,0.0307,0.0345
"L ant. ventral Insula",0.0033,0.012,0.6103,-0.0205,-0.0165,0.0033,0.0229,0.0269
"L BLBM Amygdala",0.0106,0.0121,0.8093,-0.0133,-0.0093,0.0106,0.0305,0.0342
"L BST",0.0068,0.0142,0.6888,-0.021,-0.0165,0.0068,0.0301,0.0349
"L CeMe Amygdala",0.026,0.0143,0.9676,-0.0017,0.003,0.0258,0.0498,0.0551
"L Crus II",0.007,0.0117,0.7266,-0.0162,-0.0124,0.0071,0.026,0.0298
"L dlPFC",-0.0168,0.013,0.0952,-0.0428,-0.0385,-0.0167,0.0043,0.0083
"L Hippocampus body",0.0246,0.0122,0.9783,7e-04,0.0046,0.0245,0.0446,0.0484
"L Hippocampus tail",0.0094,0.0121,0.7838,-0.0145,-0.0107,0.0094,0.0292,0.033
"L Hypothalamus",0.006,0.0138,0.669,-0.0214,-0.0167,0.006,0.0284,0.0329
"L lat. OFC",0.0082,0.013,0.737,-0.0174,-0.0132,0.0083,0.0294,0.0335
"L Lobule IX",0.009,0.012,0.7754,-0.0149,-0.0109,0.0091,0.0288,0.0325
"L med. OFC",0.0121,0.0119,0.8458,-0.0114,-0.0076,0.0121,0.0316,0.0353
"L mid/post Insula",0.0212,0.0111,0.9704,-8e-04,0.0027,0.0213,0.0393,0.0428
"L PAG",0.0036,0.0134,0.6094,-0.0229,-0.0187,0.0037,0.0255,0.0298
"L PCC",0.0194,0.0137,0.9221,-0.0073,-0.003,0.0193,0.0419,0.0463
"L PCC/precuneus",0.0107,0.0145,0.7718,-0.0178,-0.0133,0.0108,0.0344,0.0389
"L post. Caudate",-0.0065,0.0134,0.3181,-0.0334,-0.0288,-0.0064,0.0154,0.0193
"L post. Putamen",0.008,0.0126,0.7377,-0.0168,-0.0129,0.0081,0.0285,0.0322
"L post. Thalamus",0.0178,0.0117,0.9355,-0.0052,-0.0015,0.0179,0.0369,0.0407
"L pre-SMA",0.0087,0.0123,0.7606,-0.0155,-0.0117,0.0088,0.0287,0.0325
"L Ventral striatum",0.0052,0.0122,0.6686,-0.0192,-0.015,0.0053,0.0251,0.0288
"M PCC",0.0199,0.0136,0.9282,-0.0068,-0.0025,0.0199,0.0425,0.0468
"M vmPFC1",0.0152,0.0124,0.891,-0.0093,-0.0053,0.0152,0.0357,0.0397
"M vmPFC2",0,0.0127,0.5068,-0.0252,-0.0209,2e-04,0.0206,0.0247
"R ACC",0.0129,0.0116,0.8686,-0.01,-0.0063,0.0129,0.0317,0.0352
"R ant. Caudate",0.0077,0.0115,0.7493,-0.015,-0.0116,0.0078,0.0264,0.0302
"R ant. dorsal Insula",-0.0045,0.0122,0.3603,-0.0288,-0.0247,-0.0043,0.0154,0.0194
"R ant. Hippocampus",0.021,0.0125,0.9534,-0.0035,4e-04,0.0211,0.0417,0.0454
