"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.02,0.015,0.9074,-0.0097,-0.005,0.0201,0.0447,0.0494
"L ant. Caudate",0.0313,0.0165,0.9708,-0.0011,0.0041,0.0313,0.0583,0.0637
"L ant. dorsal Insula",0.0288,0.0154,0.9675,-0.0018,0.0033,0.0288,0.0542,0.0589
"L ant. Hippocampus",-0.1089,0.0214,0,-0.1514,-0.1443,-0.1088,-0.0736,-0.0668
"L ant. MCC",0.0889,0.0183,1,0.0533,0.059,0.0889,0.1188,0.1246
"L ant. Putamen",0.0044,0.0183,0.593,-0.0315,-0.0256,0.0044,0.0346,0.0401
"L ant. Thalamus",0.0296,0.0169,0.9605,-0.0035,0.0018,0.0295,0.0573,0.0628
"L ant. ventral Insula",0.0046,0.018,0.6018,-0.031,-0.0251,0.0047,0.0341,0.04
"L BLBM Amygdala",-0.0211,0.0214,0.1616,-0.0633,-0.0563,-0.0211,0.0142,0.0209
"L BST",0.0336,0.0318,0.856,-0.0287,-0.0185,0.0334,0.0858,0.0964
"L CeMe Amygdala",-0.0606,0.0267,0.0117,-0.1133,-0.1049,-0.0605,-0.0167,-0.0085
"L Crus II",-0.0167,0.0155,0.1388,-0.0472,-0.0423,-0.0166,0.0087,0.0137
"L dlPFC",0.0177,0.0178,0.8392,-0.0174,-0.0118,0.0177,0.047,0.0523
"L Hippocampus body",-0.0636,0.0175,1e-04,-0.0981,-0.0923,-0.0635,-0.0351,-0.0297
"L Hippocampus tail",-0.034,0.0177,0.0274,-0.0689,-0.0632,-0.034,-0.0048,7e-04
"L Hypothalamus",0.033,0.0277,0.8815,-0.0217,-0.0127,0.0332,0.0783,0.0871
"L lat. OFC",-0.0585,0.0204,0.0019,-0.0986,-0.0921,-0.0585,-0.0251,-0.0185
"L Lobule IX",-0.0537,0.0169,6e-04,-0.0869,-0.0817,-0.0537,-0.0258,-0.0204
"L med. OFC",-0.0667,0.0168,0,-0.1002,-0.0946,-0.0667,-0.0393,-0.034
"L mid/post Insula",-0.0434,0.0146,0.0016,-0.0721,-0.0675,-0.0433,-0.0195,-0.0149
"L PAG",0.0406,0.0256,0.9441,-0.0091,-0.0013,0.0405,0.0828,0.0914
"L PCC",-0.1336,0.0237,0,-0.1798,-0.1725,-0.1336,-0.0946,-0.0867
"L PCC/precuneus",-0.1533,0.0295,0,-0.2121,-0.2024,-0.1531,-0.1052,-0.0961
"L post. Caudate",-0.0019,0.0194,0.4597,-0.0404,-0.0337,-0.002,0.0303,0.0362
"L post. Putamen",-0.0612,0.0211,0.0022,-0.1026,-0.0958,-0.0612,-0.0266,-0.02
"L post. Thalamus",-0.038,0.0158,0.0084,-0.0692,-0.0642,-0.0379,-0.0124,-0.0071
"L pre-SMA",0.0368,0.0192,0.971,-0.0012,0.0049,0.0368,0.0684,0.0743
"L Ventral striatum",-0.0064,0.0182,0.3642,-0.042,-0.0363,-0.0064,0.0235,0.0291
"M PCC",-0.111,0.0254,0,-0.1609,-0.1529,-0.1109,-0.0693,-0.061
