"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0068,0.0099,0.2471,-0.0266,-0.0233,-0.0067,0.0094,0.0126
"L ant. Caudate",-0.0054,0.0101,0.2943,-0.0255,-0.0221,-0.0054,0.0109,0.0141
"L ant. dorsal Insula",-2e-04,0.01,0.4959,-0.02,-0.0168,-1e-04,0.016,0.019
"L ant. Hippocampus",-0.0154,0.0113,0.0845,-0.0379,-0.0341,-0.0153,0.003,0.0065
"L ant. MCC",-0.018,0.0109,0.0462,-0.04,-0.0362,-0.0178,-4e-04,0.003
"L ant. Putamen",-0.0018,0.0107,0.4339,-0.0229,-0.0195,-0.0017,0.0159,0.0192
"L ant. Thalamus",-0.0116,0.0108,0.1394,-0.0331,-0.0296,-0.0115,0.0059,0.0094
"L ant. ventral Insula",0.0104,0.012,0.8069,-0.0127,-0.0091,0.0103,0.0302,0.034
"L BLBM Amygdala",-0.0093,0.0111,0.2011,-0.0314,-0.0278,-0.0092,0.0087,0.0122
"L BST",-0.0078,0.0119,0.2529,-0.0311,-0.0273,-0.0078,0.0118,0.0157
"L CeMe Amygdala",-0.014,0.0118,0.1144,-0.0375,-0.0337,-0.0138,0.0052,0.0091
"L Crus II",-0.0064,0.0101,0.2647,-0.0265,-0.0231,-0.0064,0.0103,0.0135
"L dlPFC",-0.0021,0.0105,0.4187,-0.0229,-0.0195,-0.0021,0.0152,0.0185
"L Hippocampus body",-0.0173,0.0105,0.0498,-0.0383,-0.0348,-0.0172,0,0.0032
"L Hippocampus tail",-0.0266,0.0113,0.0078,-0.0492,-0.0454,-0.0264,-0.0084,-0.005
"L Hypothalamus",-0.0151,0.0125,0.108,-0.0404,-0.0362,-0.0148,0.0047,0.0084
"L lat. OFC",-0.0045,0.0106,0.3354,-0.0255,-0.0222,-0.0045,0.0129,0.0162
"L Lobule IX",-0.0095,0.0104,0.1804,-0.0302,-0.0267,-0.0095,0.0076,0.011
"L med. OFC",-0.0066,0.0101,0.2568,-0.0267,-0.0234,-0.0065,0.01,0.0131
"L mid/post Insula",-0.0157,0.0095,0.0492,-0.0347,-0.0316,-0.0156,-1e-04,0.0027
"L PAG",0.0036,0.0119,0.6166,-0.0189,-0.0155,0.0034,0.0236,0.0276
"L PCC",-0.0198,0.0121,0.0489,-0.0438,-0.0398,-0.0196,-2e-04,0.0037
"L PCC/precuneus",-0.0212,0.0135,0.0566,-0.0479,-0.0436,-0.0211,9e-04,0.0051
"L post. Caudate",-0.0042,0.0105,0.3465,-0.0249,-0.0214,-0.0042,0.013,0.0165
"L post. Putamen",-0.0129,0.0111,0.12,-0.0349,-0.0312,-0.0128,0.0051,0.0087
"L post. Thalamus",-0.0264,0.0104,0.0051,-0.0471,-0.0437,-0.0263,-0.0096,-0.0065
"L pre-SMA",-0.0013,0.0113,0.4508,-0.0232,-0.0196,-0.0014,0.0176,0.0212
"L Ventral striatum",-8e-04,0.0111,0.4684,-0.0224,-0.0189,-9e-04,0.0174,0.021
