"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0038,0.0102,0.3496,-0.0238,-0.0205,-0.0039,0.013,0.0162
"L ant. Caudate",-0.0131,0.0104,0.1038,-0.0332,-0.0301,-0.0131,0.0039,0.0072
"L ant. dorsal Insula",-0.0023,0.0105,0.4099,-0.0229,-0.0196,-0.0024,0.015,0.0184
"L ant. Hippocampus",0.0108,0.0116,0.8257,-0.0121,-0.0083,0.0109,0.0299,0.0337
"L ant. MCC",-5e-04,0.0114,0.4806,-0.0226,-0.019,-5e-04,0.0184,0.0221
"L ant. Putamen",-0.0216,0.0112,0.0274,-0.0437,-0.0401,-0.0216,-0.0033,4e-04
"L ant. Thalamus",0.015,0.0112,0.9114,-0.0069,-0.0033,0.0149,0.0337,0.0375
"L ant. ventral Insula",-0.0072,0.0114,0.261,-0.0294,-0.0258,-0.0073,0.0114,0.0151
"L BLBM Amygdala",-2e-04,0.0121,0.4901,-0.0238,-0.02,-3e-04,0.0198,0.0235
"L BST",-0.0025,0.0131,0.4255,-0.0283,-0.024,-0.0025,0.019,0.0233
"L CeMe Amygdala",0.0044,0.0125,0.6358,-0.0199,-0.0162,0.0044,0.025,0.029
"L Crus II",0.0025,0.0103,0.5953,-0.0176,-0.0145,0.0024,0.0195,0.0229
"L dlPFC",-0.0122,0.0113,0.138,-0.0343,-0.0308,-0.0122,0.0063,0.0099
"L Hippocampus body",0.0173,0.0112,0.9386,-0.0044,-0.0011,0.0173,0.0359,0.0396
"L Hippocampus tail",0.0159,0.0114,0.9184,-0.0061,-0.0027,0.0158,0.0349,0.0388
"L Hypothalamus",0.0138,0.0145,0.8314,-0.0138,-0.0095,0.0133,0.0382,0.0432
"L lat. OFC",-0.0056,0.0109,0.3031,-0.0271,-0.0235,-0.0057,0.0125,0.016
"L Lobule IX",0.0058,0.0108,0.7056,-0.0151,-0.0118,0.0057,0.0235,0.027
"L med. OFC",-0.0072,0.0108,0.2495,-0.0284,-0.025,-0.0073,0.0107,0.0141
"L mid/post Insula",0.0118,0.0098,0.8864,-0.0073,-0.0042,0.0118,0.0281,0.0313
"L PAG",-0.0053,0.0127,0.3365,-0.0301,-0.0261,-0.0053,0.0156,0.0197
"L PCC",0.018,0.013,0.9171,-0.0077,-0.0034,0.018,0.0393,0.0435
"L PCC/precuneus",0.0034,0.0147,0.5992,-0.0258,-0.0208,0.0037,0.0272,0.0318
"L post. Caudate",-0.0116,0.011,0.1481,-0.0333,-0.0297,-0.0116,0.0066,0.0101
"L post. Putamen",-0.0119,0.0116,0.1524,-0.0349,-0.0312,-0.0118,0.007,0.0108
"L post. Thalamus",0.0114,0.0106,0.8613,-0.0092,-0.0058,0.0114,0.029,0.0324
"L pre-SMA",-0.0019,0.0123,0.4427,-0.0261,-0.022,-0.0018,0.0183,0.022
"L Ventral striatum",-0.0024,0.0118,0.4217,-0.0257,-0.0219,-0.0024,0.0167,0.0205
"M PCC",0.0145,0.0125,0.8814,-0.0096,-0.0058,0.0143,0.0353,0.0394
"M vmPFC1",-0.0043,0.0122,0.3665,-0.0287,-0.0246,-0.0042,0.0157,0.0194
"M vmPFC2",-0.0019,0.0117,0.4354,-0.0251,-0.0212,-0.0019,0.0173,0.0209
"R ACC",0.003,0.0107,0.6063,-0.0179,-0.0146,0.0029,0.0207,0.0242
"R ant. Caudate",-0.0084,0.0105,0.2099,-0.029,-0.0257,-0.0083,0.009,0.0123
"R ant. dorsal Insula",-0.0109,0.0109,0.1552,-0.0324,-0.0287,-0.0109,0.0071,0.0105
"R ant. Hippocampus",0.0125,0.0115,0.8638,-0.0099,-0.0064,0.0125,0.0313,0.0349
"R ant. MCC",0.0035,0.0114,0.6148,-0.0185,-0.015,0.0034,0.0223,0.0261
"R ant. Putamen",-0.014,0.0104,0.0893,-0.0345,-0.0311,-0.0139,0.0031,0.0063
"R ant. Thalamus",0.0114,0.0117,0.8381,-0.0114,-0.0077,0.0114,0.0306,0.0345
"R ant. ventral Insula",-0.0072,0.0109,0.2522,-0.0287,-0.0252,-0.0072,0.0105,0.0142
"R BLBM Amygdala",-0.0107,0.0123,0.1943,-0.0351,-0.0309,-0.0106,0.0093,0.0132
"R BST",-0.0064,0.014,0.3194,-0.0345,-0.0298,-0.0063,0.0164,0.0206
"R CeMe Amygdala",-0.0013,0.0122,0.4611,-0.0255,-0.0216,-0.0012,0.0185,0.0222
"R dlPFC",-0.0099,0.0109,0.1806,-0.0312,-0.0278,-0.01,0.008,0.0115
"R Hippocampus body",0.001,0.0108,0.5352,-0.0201,-0.0169,9e-04,0.0188,0.0223
"R Hippocampus tail",0,0.011,0.497,-0.0216,-0.0182,-1e-04,0.0181,0.0215
"R Hypothalamus",0.0069,0.013,0.7011,-0.0182,-0.014,0.0067,0.0287,0.0329
"R lat. OFC",-0.0104,0.0127,0.206,-0.0355,-0.0315,-0.0103,0.0101,0.014
"R Lobule IX",0.0192,0.0104,0.9677,-0.0013,0.0022,0.0192,0.0365,0.0397
"R med. OFC",0.0067,0.0108,0.7287,-0.0144,-0.0111,0.0066,0.0245,0.0281
"R mid/post Insula",0.0036,0.0103,0.6378,-0.0164,-0.0132,0.0035,0.0205,0.0238
"R PAG",-0.0157,0.0134,0.1194,-0.0426,-0.038,-0.0156,0.0061,0.0102
"R PCC",0.017,0.0146,0.8783,-0.012,-0.0071,0.0172,0.0408,0.0451
"R PCC/precuneus",-0.0067,0.0155,0.3405,-0.0385,-0.033,-0.0062,0.018,0.0226
"R post. Caudate",-0.0137,0.0122,0.1288,-0.0382,-0.034,-0.0137,0.0062,0.0101
"R post. Putamen",-0.0232,0.0109,0.0165,-0.0447,-0.0413,-0.0232,-0.0054,-0.0019
"R post. Thalamus",0.0128,0.0111,0.8764,-0.0087,-0.0053,0.0127,0.0312,0.0349
"R pre-SMA",-0.0074,0.012,0.2646,-0.0308,-0.027,-0.0074,0.0123,0.0163
"R Ventral striatum",0.0079,0.0112,0.7608,-0.0143,-0.0105,0.0079,0.0263,0.0299
