"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-2e-04,0.0145,0.492,-0.0285,-0.024,-3e-04,0.0235,0.0282
"L ant. Caudate",0.0345,0.0157,0.9865,0.0038,0.0088,0.0344,0.0601,0.0653
"L ant. dorsal Insula",0.0438,0.0143,0.9987,0.016,0.0203,0.0438,0.0673,0.0719
"L ant. Hippocampus",-0.1295,0.0207,0,-0.1696,-0.1633,-0.1297,-0.0956,-0.0889
"L ant. MCC",-4e-04,0.0174,0.4898,-0.0347,-0.029,-4e-04,0.0283,0.0339
"L ant. Putamen",0.0638,0.0177,0.9998,0.0288,0.0345,0.0638,0.093,0.0986
"L ant. Thalamus",0.0202,0.0177,0.872,-0.0144,-0.0089,0.0202,0.0493,0.0549
"L ant. ventral Insula",0.0093,0.0187,0.6896,-0.0273,-0.0217,0.0096,0.0398,0.0456
"L BLBM Amygdala",-0.0399,0.0215,0.0313,-0.0823,-0.0753,-0.0399,-0.0045,0.002
"L BST",0.0016,0.0325,0.5184,-0.062,-0.0517,0.0015,0.0551,0.0654
"L CeMe Amygdala",-0.0813,0.0286,0.0023,-0.1381,-0.1288,-0.0812,-0.0342,-0.025
"L Crus II",0.0112,0.0148,0.7774,-0.0176,-0.0132,0.0113,0.0356,0.04
"L dlPFC",0.0467,0.0174,0.996,0.0124,0.0179,0.0468,0.0752,0.0805
"L Hippocampus body",-0.1008,0.0177,0,-0.1357,-0.1299,-0.1007,-0.0719,-0.0662
"L Hippocampus tail",-0.0829,0.017,0,-0.1163,-0.1107,-0.0829,-0.0549,-0.0496
"L Hypothalamus",-0.0406,0.0302,0.0875,-0.1,-0.09,-0.0405,0.0089,0.0183
"L lat. OFC",-0.0059,0.0185,0.374,-0.0422,-0.0364,-0.0059,0.0244,0.0302
"L Lobule IX",-0.0519,0.0167,9e-04,-0.0847,-0.0795,-0.0518,-0.0245,-0.0192
"L med. OFC",-0.0509,0.016,8e-04,-0.0824,-0.0774,-0.0509,-0.0246,-0.0198
"L mid/post Insula",-0.0446,0.0131,4e-04,-0.0705,-0.0661,-0.0445,-0.0231,-0.019
"L PAG",0.0193,0.0261,0.7692,-0.0314,-0.0231,0.0191,0.0622,0.0705
"L PCC",-0.1773,0.0247,0,-0.2256,-0.2178,-0.1773,-0.1366,-0.1288
"L PCC/precuneus",-0.1942,0.0357,0,-0.2655,-0.2535,-0.1937,-0.1366,-0.1252
"L post. Caudate",0.0348,0.0173,0.9767,5e-04,0.0064,0.0347,0.0634,0.069
"L post. Putamen",0.0144,0.0209,0.7547,-0.0265,-0.0198,0.0145,0.0487,0.0553
"L post. Thalamus",-0.0499,0.0153,6e-04,-0.08,-0.0751,-0.0499,-0.0249,-0.0203
"L pre-SMA",0.0061,0.0215,0.6101,-0.0362,-0.0293,0.0062,0.0413,0.0481
"L Ventral striatum",-0.0197,0.0187,0.1466,-0.0563,-0.0505,-0.0197,0.011,0.0169
"M PCC",-0.0965,0.0279,2e-04,-0.1512,-0.1425,-0.0964,-0.0509,-0.0424
"M vmPFC1",-0.0792,0.0217,1e-04,-0.1219,-0.1151,-0.0791,-0.0439,-0.0369
"M vmPFC2",-0.0564,0.0201,0.0026,-0.0958,-0.0895,-0.0565,-0.0232,-0.0167
"R ACC",0.0459,0.0161,0.9978,0.0142,0.0193,0.0458,0.0725,0.0776
"R ant. Caudate",0.0308,0.0152,0.9783,8e-04,0.0056,0.031,0.0556,0.0605
"R ant. dorsal Insula",0.0697,0.0148,1,0.0407,0.0453,0.0697,0.094,0.0988
"R ant. Hippocampus",-0.1449,0.0211,0,-0.1857,-0.1794,-0.1451,-0.1103,-0.1036
"R ant. MCC",0.0289,0.0181,0.9452,-0.0066,-9e-04,0.029,0.0586,0.0644
"R ant. Putamen",0.0859,0.0161,1,0.0543,0.0595,0.0859,0.1124,0.1175
"R ant. Thalamus",0.0089,0.0187,0.6849,-0.0278,-0.0218,0.009,0.0398,0.0456
"R ant. ventral Insula",0.0207,0.018,0.8756,-0.0143,-0.0087,0.0206,0.0504,0.0559
"R BLBM Amygdala",-0.0534,0.0225,0.0088,-0.0978,-0.0905,-0.0534,-0.0163,-0.0093
"R BST",-0.0054,0.0323,0.4344,-0.0683,-0.0584,-0.0056,0.0475,0.0578
"R CeMe Amygdala",-0.0891,0.0231,0,-0.1344,-0.1274,-0.089,-0.0511,-0.0438
"R dlPFC",0.0472,0.0179,0.996,0.0122,0.0179,0.0471,0.0767,0.0825
"R Hippocampus body",-0.0978,0.0162,0,-0.1298,-0.1246,-0.0978,-0.0712,-0.0661
"R Hippocampus tail",-0.0978,0.0186,0,-0.134,-0.1284,-0.0979,-0.067,-0.0614
"R Hypothalamus",-0.041,0.0266,0.063,-0.0927,-0.0844,-0.0411,0.003,0.0113
"R lat. OFC",-0.0087,0.0247,0.3622,-0.057,-0.0493,-0.0088,0.032,0.0399
"R Lobule IX",-0.0606,0.0148,0,-0.0898,-0.0849,-0.0605,-0.0365,-0.0319
"R med. OFC",-0.0326,0.0158,0.0204,-0.0637,-0.0585,-0.0326,-0.0064,-0.0014
"R mid/post Insula",-0.0268,0.0139,0.0259,-0.0541,-0.0498,-0.0267,-0.004,2e-04
"R PAG",0.057,0.0287,0.976,5e-04,0.0099,0.057,0.1044,0.1127
"R PCC",-0.2237,0.0318,0,-0.287,-0.2765,-0.2236,-0.1718,-0.1616
"R PCC/precuneus",-0.1881,0.0311,0,-0.2495,-0.2396,-0.1879,-0.1372,-0.1279
"R post. Caudate",0.0389,0.019,0.9799,0.0019,0.0076,0.0388,0.0702,0.0763
"R post. Putamen",0.0381,0.0177,0.9844,0.0033,0.0089,0.0381,0.067,0.0728
"R post. Thalamus",-0.0546,0.0163,4e-04,-0.0866,-0.0815,-0.0546,-0.028,-0.0225
"R pre-SMA",0.081,0.0215,0.9999,0.0385,0.0455,0.0809,0.1164,0.123
"R Ventral striatum",-0.0414,0.0184,0.0124,-0.0773,-0.0715,-0.0413,-0.0109,-0.005
