"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.2297,0.0085,1,0.2135,0.2161,0.2296,0.2439,0.2467
"L ant. Caudate",0.2634,0.009,1,0.2458,0.2488,0.2633,0.2782,0.2812
"L ant. dorsal Insula",0.2403,0.0084,1,0.224,0.2266,0.2402,0.2543,0.257
"L ant. Hippocampus",0.3198,0.0111,1,0.2982,0.3016,0.3198,0.3381,0.3418
"L ant. MCC",0.3362,0.0102,1,0.3164,0.3196,0.3362,0.3531,0.3565
"L ant. Putamen",0.2951,0.0093,1,0.2771,0.2799,0.295,0.3106,0.3135
"L ant. Thalamus",0.2943,0.0095,1,0.2761,0.2789,0.2941,0.3101,0.3134
"L ant. ventral Insula",0.3017,0.0094,1,0.2835,0.2864,0.3016,0.3174,0.3203
"L BLBM Amygdala",0.3311,0.012,1,0.3077,0.3114,0.3311,0.3511,0.3549
"L BST",0.6807,0.0179,1,0.6459,0.6514,0.6804,0.7103,0.7158
"L CeMe Amygdala",0.4559,0.0142,1,0.4282,0.4327,0.4559,0.4794,0.484
"L Crus II",0.1782,0.0083,1,0.1623,0.1647,0.1781,0.1922,0.1948
"L dlPFC",0.2902,0.0101,1,0.2704,0.2736,0.2902,0.3068,0.3103
"L Hippocampus body",0.2686,0.0094,1,0.2503,0.2533,0.2685,0.2843,0.2873
"L Hippocampus tail",0.3057,0.0093,1,0.2875,0.2904,0.3057,0.3211,0.3241
"L Hypothalamus",0.4445,0.0168,1,0.412,0.4171,0.4443,0.4723,0.4776
"L lat. OFC",0.2563,0.01,1,0.2367,0.2399,0.2563,0.2729,0.2762
"L Lobule IX",0.2353,0.0088,1,0.2182,0.2209,0.2353,0.25,0.2529
"L med. OFC",0.2056,0.0089,1,0.1883,0.1911,0.2055,0.2205,0.2234
"L mid/post Insula",0.191,0.008,1,0.1755,0.178,0.1909,0.2044,0.207
"L PAG",0.5223,0.0145,1,0.4941,0.4986,0.5222,0.5463,0.5506
"L PCC",0.3798,0.0124,1,0.3557,0.3595,0.3796,0.4002,0.4043
"L PCC/precuneus",0.5497,0.0179,1,0.515,0.5204,0.5496,0.5792,0.5848
"L post. Caudate",0.2664,0.0094,1,0.2482,0.2511,0.2663,0.282,0.285
"L post. Putamen",0.3171,0.0105,1,0.2967,0.3,0.317,0.3345,0.3379
"L post. Thalamus",0.2542,0.0085,1,0.2377,0.2405,0.2542,0.2684,0.2713
"L pre-SMA",0.3083,0.0117,1,0.2858,0.2894,0.3082,0.3278,0.3315
"L Ventral striatum",0.2706,0.0095,1,0.2522,0.2552,0.2706,0.2861,0.2892
"M PCC",0.4063,0.0136,1,0.3799,0.3841,0.4063,0.4289,0.4333
"M vmPFC1",0.3281,0.0116,1,0.3056,0.3091,0.3282,0.3472,0.351
"M vmPFC2",0.3259,0.0105,1,0.3054,0.3086,0.3259,0.3434,0.3469
"R ACC",0.2667,0.0089,1,0.2493,0.2521,0.2666,0.2816,0.2847
"R ant. Caudate",0.2481,0.0086,1,0.2315,0.2341,0.248,0.2623,0.2652
"R ant. dorsal Insula",0.2592,0.0085,1,0.2427,0.2454,0.2592,0.2733,0.276
"R ant. Hippocampus",0.3291,0.0103,1,0.3093,0.3124,0.3291,0.3461,0.3493
"R ant. MCC",0.3308,0.0104,1,0.3105,0.3138,0.3307,0.3482,0.3515
"R ant. Putamen",0.2878,0.0095,1,0.2694,0.2723,0.2877,0.3035,0.3066
"R ant. Thalamus",0.2832,0.0101,1,0.2636,0.2668,0.2831,0.2999,0.3033
"R ant. ventral Insula",0.3122,0.0098,1,0.2932,0.2962,0.3121,0.3282,0.3316
"R BLBM Amygdala",0.2929,0.0108,1,0.2718,0.2751,0.2927,0.3109,0.3144
"R BST",0.7319,0.0191,1,0.6946,0.7007,0.7317,0.7634,0.7697
"R CeMe Amygdala",0.3951,0.0122,1,0.3715,0.3752,0.395,0.4154,0.4192
"R dlPFC",0.2542,0.0094,1,0.236,0.2388,0.2541,0.2698,0.2729
"R Hippocampus body",0.2492,0.0086,1,0.2325,0.2351,0.2491,0.2634,0.2662
"R Hippocampus tail",0.3009,0.0095,1,0.2825,0.2854,0.3009,0.3165,0.3198
"R Hypothalamus",0.4343,0.0168,1,0.402,0.4072,0.4342,0.4622,0.4677
"R lat. OFC",0.3777,0.0135,1,0.3513,0.3556,0.3776,0.3997,0.4041
"R Lobule IX",0.2152,0.0085,1,0.1987,0.2014,0.2151,0.2294,0.2323
"R med. OFC",0.1988,0.0086,1,0.1821,0.1849,0.1987,0.2132,0.216
"R mid/post Insula",0.1969,0.0082,1,0.1811,0.1836,0.1968,0.2105,0.2133
"R PAG",0.5862,0.0147,1,0.5576,0.5622,0.5861,0.6105,0.6152
"R PCC",0.4561,0.0141,1,0.4288,0.4331,0.456,0.4795,0.4841
"R PCC/precuneus",0.4615,0.0164,1,0.4297,0.4347,0.4614,0.4884,0.4938
"R post. Caudate",0.2935,0.0099,1,0.2743,0.2772,0.2934,0.31,0.3132
"R post. Putamen",0.2896,0.0096,1,0.271,0.2739,0.2895,0.3057,0.309
"R post. Thalamus",0.2708,0.0087,1,0.2539,0.2566,0.2707,0.2854,0.2882
"R pre-SMA",0.2986,0.0102,1,0.2788,0.2819,0.2985,0.3154,0.3189
"R Ventral striatum",0.2907,0.0097,1,0.2717,0.2749,0.2906,0.3069,0.31
