"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.0085,0.009,0.8286,-0.009,-0.0062,0.0084,0.0233,0.0262
"L ant. Caudate",0.0025,0.0092,0.6074,-0.0155,-0.0126,0.0025,0.0176,0.0206
"L ant. dorsal Insula",-6e-04,0.009,0.4711,-0.0181,-0.0153,-6e-04,0.0143,0.0171
"L ant. Hippocampus",0.0119,0.0124,0.8318,-0.0115,-0.008,0.0115,0.033,0.0373
"L ant. MCC",0.0132,0.0107,0.8928,-0.0074,-0.0041,0.0131,0.031,0.0346
"L ant. Putamen",-0.0036,0.0097,0.356,-0.0225,-0.0196,-0.0036,0.0123,0.0153
"L ant. Thalamus",0.01,0.01,0.847,-0.009,-0.0059,0.0098,0.0268,0.0302
"L ant. ventral Insula",0.0021,0.0091,0.5897,-0.0158,-0.0129,0.0021,0.0171,0.02
"L BLBM Amygdala",0.0083,0.0111,0.7711,-0.0126,-0.0094,0.008,0.027,0.0309
"L BST",-0.0092,0.0178,0.3068,-0.0459,-0.0393,-0.0085,0.0188,0.0241
"L CeMe Amygdala",2e-04,0.0129,0.5037,-0.0247,-0.0206,1e-04,0.0216,0.0261
"L Crus II",0.0038,0.009,0.6631,-0.0138,-0.011,0.0038,0.0187,0.0215
"L dlPFC",0.0157,0.0108,0.9293,-0.0052,-0.0019,0.0155,0.0337,0.0373
"L Hippocampus body",-2e-04,0.0092,0.4908,-0.0182,-0.0153,-2e-04,0.0149,0.0179
"L Hippocampus tail",-0.0053,0.0094,0.2861,-0.0237,-0.0207,-0.0052,0.0101,0.0131
"L Hypothalamus",7e-04,0.0125,0.5213,-0.0241,-0.0197,7e-04,0.0209,0.0251
"L lat. OFC",-0.0034,0.0096,0.3593,-0.0224,-0.0194,-0.0034,0.0123,0.0154
"L Lobule IX",0.0022,0.0093,0.592,-0.0158,-0.0129,0.0022,0.0175,0.0206
"L med. OFC",-0.0069,0.0096,0.2368,-0.0258,-0.0227,-0.0068,0.0088,0.0118
"L mid/post Insula",-0.001,0.0086,0.4544,-0.0177,-0.015,-0.001,0.0132,0.016
"L PAG",0.0042,0.0127,0.6312,-0.0207,-0.0165,0.0041,0.0252,0.0294
"L PCC",-0.0086,0.0114,0.2251,-0.0315,-0.0276,-0.0083,0.0098,0.0135
"L PCC/precuneus",0.0194,0.0183,0.8608,-0.0138,-0.009,0.0184,0.0511,0.0579
"L post. Caudate",0.0036,0.0092,0.6523,-0.0141,-0.0113,0.0035,0.0189,0.0219
"L post. Putamen",-0.0113,0.0103,0.1326,-0.0319,-0.0284,-0.0112,0.0055,0.0087
"L post. Thalamus",-0.003,0.0089,0.3689,-0.0203,-0.0176,-0.003,0.0116,0.0146
"L pre-SMA",-0.0101,0.0121,0.2006,-0.0361,-0.0312,-0.0094,0.0085,0.0118
"L Ventral striatum",0.0064,0.0093,0.7552,-0.0112,-0.0085,0.0063,0.0218,0.0249
"M PCC",-0.0034,0.012,0.3826,-0.0268,-0.0229,-0.0034,0.0164,0.0204
"M vmPFC1",-0.0053,0.01,0.3008,-0.0252,-0.0219,-0.0051,0.0111,0.0142
"M vmPFC2",-0.0056,0.01,0.2899,-0.0259,-0.0224,-0.0055,0.0106,0.0136
"R ACC",0.0144,0.0101,0.9265,-0.0049,-0.0018,0.0143,0.0312,0.0345
"R ant. Caudate",0.0151,0.0095,0.947,-0.0033,-3e-04,0.015,0.0308,0.0338
"R ant. dorsal Insula",0.0058,0.009,0.7396,-0.0119,-0.009,0.0057,0.0206,0.0235
"R ant. Hippocampus",-0.0058,0.0102,0.2858,-0.0259,-0.0226,-0.0057,0.011,0.014
"R ant. MCC",0.0135,0.0105,0.9052,-0.0065,-0.0034,0.0133,0.031,0.0346
"R ant. Putamen",0.007,0.0094,0.7693,-0.0115,-0.0084,0.0069,0.0226,0.0257
"R ant. Thalamus",0.0051,0.0096,0.7017,-0.0135,-0.0105,0.005,0.0211,0.0244
"R ant. ventral Insula",0.0016,0.0098,0.5638,-0.0175,-0.0143,0.0016,0.0178,0.021
"R BLBM Amygdala",-0.0025,0.0101,0.4032,-0.0224,-0.0192,-0.0025,0.0142,0.0174
"R BST",0.0131,0.0177,0.7688,-0.0211,-0.0156,0.0128,0.0424,0.0487
"R CeMe Amygdala",0.0019,0.0108,0.5618,-0.0188,-0.0156,0.0017,0.0199,0.0235
"R dlPFC",-0.0119,0.0106,0.1295,-0.0329,-0.0295,-0.0118,0.0052,0.0085
"R Hippocampus body",-8e-04,0.0089,0.4638,-0.0183,-0.0155,-8e-04,0.0139,0.0168
"R Hippocampus tail",-0.0062,0.0096,0.2592,-0.0253,-0.0221,-0.0061,0.0096,0.0127
"R Hypothalamus",-0.0128,0.015,0.1979,-0.0436,-0.0382,-0.0122,0.0108,0.0149
"R lat. OFC",0.0166,0.0146,0.8818,-0.0091,-0.0055,0.0157,0.0423,0.0479
"R Lobule IX",-0.0025,0.0091,0.3876,-0.0204,-0.0174,-0.0025,0.0123,0.0152
"R med. OFC",-1e-04,0.0091,0.4937,-0.0179,-0.0149,-1e-04,0.015,0.018
"R mid/post Insula",0.0025,0.0087,0.612,-0.0144,-0.0116,0.0024,0.0167,0.0196
"R PAG",-0.0177,0.0148,0.1141,-0.0478,-0.0428,-0.0173,0.0058,0.0102
"R PCC",-0.0161,0.0131,0.1041,-0.0427,-0.0384,-0.0158,0.005,0.0088
"R PCC/precuneus",7e-04,0.0147,0.5085,-0.0269,-0.0227,3e-04,0.0258,0.0311
"R post. Caudate",0.0054,0.0097,0.707,-0.0131,-0.0102,0.0052,0.0217,0.0252
"R post. Putamen",0.0019,0.0093,0.5792,-0.016,-0.013,0.0019,0.0173,0.0202
"R post. Thalamus",-0.0031,0.0089,0.3625,-0.0207,-0.0177,-0.0031,0.0116,0.0144
"R pre-SMA",-0.0079,0.01,0.2137,-0.0279,-0.0245,-0.0077,0.0084,0.0116
"R Ventral striatum",0.0054,0.0096,0.7108,-0.0137,-0.0104,0.0054,0.0213,0.0244
