"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.0176,0.0145,0.8886,-0.0111,-0.0064,0.0175,0.0416,0.0463
"L ant. Caudate",0.0207,0.0159,0.9053,-0.0107,-0.0056,0.0207,0.0471,0.0522
"L ant. dorsal Insula",0.021,0.0146,0.9268,-0.0075,-0.0028,0.0209,0.0452,0.0498
"L ant. Hippocampus",-0.1109,0.0208,0,-0.1516,-0.1449,-0.1109,-0.0765,-0.0701
"L ant. MCC",0.0768,0.0184,1,0.0407,0.0464,0.0767,0.1073,0.113
"L ant. Putamen",-0.0158,0.0165,0.1691,-0.048,-0.0428,-0.0158,0.0113,0.0164
"L ant. Thalamus",0.0227,0.0168,0.9132,-0.0101,-0.0048,0.0226,0.0504,0.0558
"L ant. ventral Insula",0.0023,0.0166,0.5573,-0.0304,-0.025,0.0024,0.0294,0.0346
"L BLBM Amygdala",-0.0457,0.0216,0.017,-0.088,-0.0813,-0.0456,-0.0102,-0.0032
"L BST",0.0614,0.0333,0.9685,-0.0034,0.0071,0.0613,0.1161,0.1269
"L CeMe Amygdala",-0.0636,0.0259,0.0067,-0.1149,-0.1065,-0.0635,-0.0215,-0.0131
"L Crus II",-0.0275,0.0143,0.0277,-0.0557,-0.0511,-0.0275,-0.004,7e-04
"L dlPFC",-0.0024,0.0181,0.4473,-0.038,-0.0322,-0.0023,0.0272,0.033
"L Hippocampus body",-0.0415,0.0167,0.0065,-0.0744,-0.0689,-0.0415,-0.0141,-0.0087
"L Hippocampus tail",-0.0333,0.0164,0.0212,-0.0654,-0.0603,-0.0333,-0.0061,-0.0011
"L Hypothalamus",0.0237,0.0296,0.7859,-0.0334,-0.0244,0.0235,0.073,0.0823
"L lat. OFC",-0.0486,0.0179,0.0034,-0.0837,-0.078,-0.0484,-0.0194,-0.0137
"L Lobule IX",-0.0513,0.0153,4e-04,-0.0811,-0.0765,-0.0512,-0.0261,-0.0212
"L med. OFC",-0.0535,0.0159,4e-04,-0.0846,-0.0798,-0.0535,-0.0273,-0.0223
"L mid/post Insula",-0.0307,0.0136,0.0128,-0.0574,-0.0532,-0.0307,-0.0082,-0.0039
"L PAG",0.0258,0.026,0.8394,-0.025,-0.0169,0.0258,0.0689,0.0772
"L PCC",-0.0998,0.0229,0,-0.1454,-0.1378,-0.0996,-0.0622,-0.0549
"L PCC/precuneus",-0.1628,0.0341,0,-0.2302,-0.2191,-0.1626,-0.1073,-0.0967
"L post. Caudate",-0.0058,0.0165,0.3602,-0.0381,-0.033,-0.0059,0.0213,0.0265
"L post. Putamen",-0.0779,0.0187,0,-0.1147,-0.1086,-0.0778,-0.0472,-0.0414
"L post. Thalamus",-0.0379,0.0147,0.0057,-0.0668,-0.062,-0.0379,-0.0141,-0.0091
"L pre-SMA",-0.0042,0.0209,0.4202,-0.045,-0.0384,-0.0042,0.03,0.0367
"L Ventral striatum",-0.0061,0.0167,0.3569,-0.0387,-0.0336,-0.006,0.0215,0.027
"M PCC",-0.1122,0.0254,0,-0.162,-0.154,-0.1123,-0.0705,-0.0623
"M vmPFC1",-0.06,0.0207,0.0015,-0.1008,-0.0942,-0.0599,-0.0261,-0.0199
"M vmPFC2",-0.0203,0.0184,0.1357,-0.0561,-0.0504,-0.0203,0.0098,0.0156
"R ACC",0.0342,0.0156,0.9858,0.0035,0.0085,0.0342,0.0598,0.0651
"R ant. Caudate",0.0322,0.0151,0.9836,0.0025,0.0073,0.0321,0.0571,0.0619
"R ant. dorsal Insula",0.0271,0.0147,0.9673,-0.0018,0.0028,0.0271,0.0513,0.0561
"R ant. Hippocampus",-0.111,0.0188,0,-0.148,-0.1418,-0.1111,-0.0799,-0.0743
"R ant. MCC",0.0724,0.0191,0.9999,0.0353,0.0412,0.0723,0.1039,0.1103
"R ant. Putamen",0.0042,0.0165,0.6008,-0.0281,-0.0228,0.0042,0.0314,0.0368
"R ant. Thalamus",1e-04,0.018,0.497,-0.035,-0.0293,-1e-04,0.0297,0.0357
"R ant. ventral Insula",0.0255,0.0174,0.9289,-0.0086,-0.0032,0.0254,0.0541,0.0597
"R BLBM Amygdala",-0.0678,0.0196,3e-04,-0.1059,-0.1,-0.0678,-0.0357,-0.0295
"R BST",0.1235,0.0367,0.9996,0.0513,0.0631,0.1234,0.1834,0.1951
"R CeMe Amygdala",-0.049,0.0214,0.0112,-0.091,-0.0839,-0.0489,-0.0142,-0.0073
"R dlPFC",0.0388,0.0167,0.9894,0.0061,0.0113,0.0387,0.0663,0.0718
"R Hippocampus body",-0.0406,0.0147,0.0034,-0.0695,-0.0649,-0.0406,-0.0164,-0.0117
"R Hippocampus tail",-0.0453,0.0167,0.0037,-0.0779,-0.0728,-0.0454,-0.0177,-0.0123
"R Hypothalamus",-0.0092,0.0305,0.3804,-0.0684,-0.0592,-0.0092,0.0413,0.0509
"R lat. OFC",-0.1037,0.0252,0,-0.1531,-0.1452,-0.1038,-0.062,-0.0541
"R Lobule IX",-0.0489,0.0146,4e-04,-0.0777,-0.0729,-0.0488,-0.0249,-0.0202
"R med. OFC",-0.0411,0.0151,0.0042,-0.0704,-0.0658,-0.0412,-0.0162,-0.0115
"R mid/post Insula",-0.0265,0.014,0.0293,-0.0542,-0.0495,-0.0266,-0.0034,0.0011
"R PAG",0.0443,0.0277,0.947,-0.0098,-7e-04,0.0443,0.0899,0.0986
"R PCC",-0.138,0.0267,0,-0.1905,-0.1824,-0.1378,-0.0945,-0.0863
"R PCC/precuneus",-0.1828,0.0313,0,-0.2443,-0.2343,-0.1828,-0.1316,-0.1216
"R post. Caudate",-0.0285,0.0177,0.0532,-0.0634,-0.0576,-0.0286,5e-04,0.0062
"R post. Putamen",-0.0351,0.0169,0.0198,-0.068,-0.0629,-0.0351,-0.0074,-0.0018
"R post. Thalamus",-0.0396,0.0152,0.0046,-0.0691,-0.0644,-0.0396,-0.0146,-0.0098
"R pre-SMA",0.0111,0.0182,0.7288,-0.0241,-0.0186,0.011,0.0414,0.0473
"R Ventral striatum",0.0272,0.0172,0.9426,-0.0067,-0.0013,0.0273,0.0553,0.0607
