"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.1927,0.0082,1,0.177,0.1794,0.1926,0.2065,0.2092
"L ant. Caudate",0.2582,0.0088,1,0.2409,0.2437,0.2581,0.2729,0.2758
"L ant. dorsal Insula",0.1901,0.0079,1,0.175,0.1774,0.19,0.2032,0.2059
"L ant. Hippocampus",0.3401,0.0111,1,0.3186,0.322,0.3398,0.3586,0.3621
"L ant. MCC",0.2599,0.0095,1,0.2417,0.2445,0.2597,0.2757,0.2787
"L ant. Putamen",0.2723,0.0089,1,0.2552,0.2579,0.2722,0.287,0.29
"L ant. Thalamus",0.2292,0.0089,1,0.2121,0.2148,0.2291,0.244,0.2469
"L ant. ventral Insula",0.2702,0.0092,1,0.2525,0.2552,0.27,0.2855,0.2886
"L BLBM Amygdala",0.3345,0.0123,1,0.3108,0.3146,0.3343,0.3551,0.3593
"L BST",0.6122,0.0163,1,0.5808,0.5857,0.6121,0.6392,0.6443
"L CeMe Amygdala",0.4827,0.0141,1,0.4551,0.4596,0.4828,0.5058,0.5103
"L Crus II",0.159,0.0081,1,0.1435,0.146,0.1589,0.1725,0.1751
"L dlPFC",0.247,0.0094,1,0.2286,0.2316,0.2469,0.2626,0.2657
"L Hippocampus body",0.2805,0.0092,1,0.2627,0.2656,0.2803,0.2959,0.299
"L Hippocampus tail",0.2714,0.0094,1,0.2531,0.2561,0.2712,0.2872,0.2902
"L Hypothalamus",0.4462,0.0149,1,0.4174,0.422,0.446,0.4712,0.476
"L lat. OFC",0.3206,0.0104,1,0.3004,0.3037,0.3205,0.3378,0.3413
"L Lobule IX",0.203,0.0088,1,0.1859,0.1886,0.2028,0.2178,0.2206
"L med. OFC",0.2353,0.0086,1,0.2188,0.2214,0.2352,0.2498,0.2527
"L mid/post Insula",0.1786,0.0078,1,0.1638,0.1661,0.1785,0.1917,0.1944
"L PAG",0.4803,0.0137,1,0.4536,0.4578,0.4802,0.5028,0.5071
"L PCC",0.4427,0.013,1,0.4175,0.4216,0.4427,0.464,0.4681
"L PCC/precuneus",0.6311,0.0166,1,0.5989,0.6038,0.6311,0.6582,0.6635
"L post. Caudate",0.3272,0.0098,1,0.3082,0.3112,0.3271,0.3435,0.3466
"L post. Putamen",0.3102,0.0098,1,0.2914,0.2943,0.3101,0.3265,0.3296
"L post. Thalamus",0.2056,0.0081,1,0.19,0.1925,0.2054,0.2191,0.2218
"L pre-SMA",0.2571,0.0104,1,0.2371,0.2401,0.257,0.2743,0.2777
"L Ventral striatum",0.2596,0.0092,1,0.242,0.2448,0.2595,0.2749,0.278
"M PCC",0.4399,0.0144,1,0.4116,0.4164,0.4398,0.4637,0.4684
"M vmPFC1",0.3754,0.0117,1,0.3527,0.3564,0.3753,0.3948,0.3985
"M vmPFC2",0.3213,0.0098,1,0.3021,0.3052,0.3213,0.3376,0.3409
"R ACC",0.2165,0.0085,1,0.2001,0.2028,0.2164,0.2308,0.2337
"R ant. Caudate",0.2435,0.0086,1,0.2268,0.2293,0.2434,0.2578,0.2605
"R ant. dorsal Insula",0.2074,0.0082,1,0.1917,0.1941,0.2072,0.221,0.2238
"R ant. Hippocampus",0.3429,0.0105,1,0.3223,0.3256,0.343,0.3604,0.3636
"R ant. MCC",0.247,0.0094,1,0.2287,0.2317,0.2469,0.2626,0.2655
"R ant. Putamen",0.2621,0.0087,1,0.2453,0.2479,0.2621,0.2767,0.2796
"R ant. Thalamus",0.2489,0.0093,1,0.2308,0.2337,0.2488,0.2643,0.2675
"R ant. ventral Insula",0.2614,0.0093,1,0.2434,0.2462,0.2612,0.2769,0.2801
"R BLBM Amygdala",0.3188,0.0109,1,0.2976,0.301,0.3187,0.3368,0.3403
"R BST",0.6149,0.0172,1,0.5817,0.587,0.6148,0.6435,0.6491
"R CeMe Amygdala",0.3964,0.0119,1,0.3735,0.3771,0.3964,0.4161,0.4197
"R dlPFC",0.2284,0.0089,1,0.2112,0.214,0.2284,0.2432,0.2461
"R Hippocampus body",0.2415,0.009,1,0.2244,0.227,0.2414,0.2563,0.2594
"R Hippocampus tail",0.2542,0.0088,1,0.2371,0.2398,0.2542,0.2687,0.2718
"R Hypothalamus",0.4588,0.0171,1,0.4256,0.4309,0.4585,0.4872,0.4928
"R lat. OFC",0.4126,0.0127,1,0.388,0.3918,0.4124,0.4338,0.4379
"R Lobule IX",0.219,0.0086,1,0.2024,0.2051,0.2189,0.2332,0.2361
"R med. OFC",0.2024,0.0088,1,0.1854,0.1881,0.2023,0.2171,0.2199
"R mid/post Insula",0.19,0.0079,1,0.175,0.1772,0.1899,0.2033,0.206
"R PAG",0.5535,0.0138,1,0.5267,0.5308,0.5533,0.5764,0.5808
"R PCC",0.4539,0.0139,1,0.4272,0.4313,0.4537,0.477,0.4814
"R PCC/precuneus",0.6032,0.0198,1,0.5646,0.5709,0.6031,0.636,0.6423
"R post. Caudate",0.362,0.0105,1,0.3417,0.345,0.3619,0.3793,0.383
"R post. Putamen",0.2892,0.0097,1,0.2702,0.2732,0.2892,0.3053,0.3083
"R post. Thalamus",0.2042,0.0082,1,0.1886,0.191,0.2041,0.2179,0.2207
"R pre-SMA",0.259,0.0097,1,0.2402,0.2432,0.2589,0.2751,0.2784
"R Ventral striatum",0.2781,0.0094,1,0.2598,0.2628,0.278,0.2936,0.2967
