"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0033,0.0077,0.3256,-0.0183,-0.0158,-0.0034,0.0094,0.012
"L ant. Caudate",-0.0038,0.0078,0.3076,-0.0192,-0.0167,-0.0038,0.009,0.0115
"L ant. dorsal Insula",-0.0051,0.0077,0.2506,-0.0204,-0.0178,-0.0051,0.0074,0.0099
"L ant. Hippocampus",0.0011,0.01,0.5116,-0.0164,-0.0138,3e-04,0.0189,0.0235
"L ant. MCC",-0.0021,0.008,0.3912,-0.0175,-0.0149,-0.0022,0.0112,0.014
"L ant. Putamen",-0.0029,0.0079,0.3551,-0.0182,-0.0158,-0.0029,0.0101,0.0128
"L ant. Thalamus",-0.0027,0.0078,0.3587,-0.0179,-0.0154,-0.0028,0.0103,0.013
"L ant. ventral Insula",-0.0037,0.0078,0.3129,-0.0188,-0.0164,-0.0037,0.009,0.0116
"L BLBM Amygdala",-0.003,0.008,0.3447,-0.0186,-0.0161,-0.0031,0.0101,0.0129
"L BST",5e-04,0.0097,0.5078,-0.0178,-0.0148,2e-04,0.0167,0.0203
"L CeMe Amygdala",-6e-04,0.0087,0.46,-0.017,-0.0144,-8e-04,0.014,0.0172
"L Crus II",-0.0046,0.0077,0.2712,-0.0198,-0.0173,-0.0047,0.0081,0.0107
"L dlPFC",-0.0031,0.0078,0.3404,-0.0184,-0.0159,-0.0031,0.0098,0.0124
"L Hippocampus body",-0.0052,0.0079,0.2524,-0.0209,-0.0183,-0.0051,0.0077,0.0103
"L Hippocampus tail",-0.006,0.0081,0.2285,-0.0221,-0.0194,-0.0059,0.0072,0.0098
"L Hypothalamus",-0.0026,0.0084,0.3723,-0.019,-0.0162,-0.0026,0.0113,0.014
"L lat. OFC",-0.0045,0.0079,0.2842,-0.0202,-0.0175,-0.0044,0.0083,0.011
"L Lobule IX",-0.0065,0.0079,0.2054,-0.0222,-0.0196,-0.0064,0.0064,0.0089
"L med. OFC",-0.0059,0.0078,0.2222,-0.0214,-0.0188,-0.0059,0.0069,0.0094
"L mid/post Insula",-0.0049,0.0077,0.2592,-0.0199,-0.0175,-0.0049,0.0076,0.0102
"L PAG",0.0023,0.0099,0.5687,-0.0156,-0.013,0.0017,0.0194,0.0235
"L PCC",-0.0058,0.0087,0.2484,-0.0237,-0.0205,-0.0056,0.0081,0.0108
"L PCC/precuneus",-0.0019,0.0105,0.4083,-0.0218,-0.0185,-0.0023,0.0159,0.0199
"L post. Caudate",-0.0018,0.008,0.406,-0.0174,-0.0149,-0.0019,0.0116,0.0142
