"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0022,0.0084,0.3962,-0.0186,-0.0159,-0.0022,0.0115,0.0144
"L ant. Caudate",-0.0089,0.0088,0.1539,-0.0261,-0.0233,-0.0089,0.0055,0.0085
"L ant. dorsal Insula",0.0034,0.0082,0.6592,-0.0124,-0.0098,0.0033,0.0171,0.0197
"L ant. Hippocampus",0.0112,0.0105,0.8572,-0.0089,-0.0057,0.011,0.0287,0.0324
"L ant. MCC",9e-04,0.0089,0.5416,-0.0163,-0.0135,9e-04,0.0156,0.0186
"L ant. Putamen",-0.0135,0.0091,0.0694,-0.0313,-0.0285,-0.0135,0.0015,0.0046
"L ant. Thalamus",4e-04,0.0086,0.5156,-0.0163,-0.0136,3e-04,0.0147,0.0175
"L ant. ventral Insula",1e-04,0.0089,0.5021,-0.0172,-0.0144,0,0.0151,0.018
"L BLBM Amygdala",-0.0038,0.0097,0.3455,-0.0232,-0.0198,-0.0039,0.0122,0.0153
"L BST",-0.006,0.0129,0.3174,-0.0311,-0.027,-0.0061,0.0153,0.0197
"L CeMe Amygdala",-0.004,0.0107,0.3544,-0.0251,-0.0216,-0.0039,0.0136,0.0172
"L Crus II",0.0065,0.0083,0.7834,-0.0097,-0.0072,0.0064,0.0204,0.0229
"L dlPFC",-0.0022,0.0089,0.4009,-0.0197,-0.0169,-0.0022,0.0124,0.0153
"L Hippocampus body",0.0069,0.0094,0.7702,-0.0112,-0.0084,0.0068,0.0226,0.0256
"L Hippocampus tail",0.014,0.0099,0.924,-0.005,-0.0021,0.0138,0.0304,0.0337
"L Hypothalamus",-0.004,0.0113,0.3582,-0.0262,-0.0225,-0.004,0.0148,0.0185
"L lat. OFC",-3e-04,0.0092,0.4844,-0.0182,-0.0153,-4e-04,0.015,0.018
"L Lobule IX",0.004,0.0087,0.673,-0.0128,-0.0101,0.0039,0.0185,0.0214
"L med. OFC",-0.0037,0.0084,0.3249,-0.02,-0.0174,-0.0037,0.0102,0.013
"L mid/post Insula",8e-04,0.0082,0.5356,-0.0151,-0.0125,7e-04,0.0142,0.017
"L PAG",0.0051,0.0121,0.6559,-0.018,-0.0144,0.0047,0.0254,0.0298
"L PCC",0.0065,0.0109,0.7237,-0.0143,-0.011,0.0063,0.0247,0.0287
"L PCC/precuneus",-0.0153,0.0144,0.14,-0.0453,-0.0399,-0.0148,0.0076,0.0117
"L post. Caudate",-0.0093,0.0092,0.1547,-0.0273,-0.0244,-0.0093,0.0059,0.0091
"L post. Putamen",-0.0086,0.0091,0.169,-0.0267,-0.0236,-0.0086,0.0063,0.0093
"L post. Thalamus",0.002,0.0083,0.5962,-0.0141,-0.0116,0.002,0.0159,0.0187
"L pre-SMA",-0.002,0.0092,0.4152,-0.02,-0.0171,-0.002,0.0132,0.0163
"L Ventral striatum",-0.0136,0.0092,0.0679,-0.0318,-0.0288,-0.0136,0.0013,0.0042
"M PCC",0.0061,0.0107,0.7128,-0.0146,-0.0112,0.0059,0.024,0.0276
"M vmPFC1",-0.0057,0.0104,0.2888,-0.0262,-0.0228,-0.0056,0.0113,0.0144
"M vmPFC2",-6e-04,0.0094,0.465,-0.0186,-0.0158,-8e-04,0.015,0.0182
"R ACC",0.0065,0.0089,0.7678,-0.0109,-0.0081,0.0065,0.0214,0.0243
"R ant. Caudate",-0.0158,0.0092,0.0422,-0.034,-0.0311,-0.0158,-8e-04,0.0021
"R ant. dorsal Insula",0.0071,0.0088,0.7894,-0.0098,-0.0072,0.007,0.0217,0.0245
"R ant. Hippocampus",0.0021,0.0096,0.5856,-0.0166,-0.0136,0.0021,0.018,0.0211
"R ant. MCC",0.0013,0.0094,0.5572,-0.0171,-0.0141,0.0014,0.0169,0.0199
"R ant. Putamen",-0.0127,0.0088,0.0745,-0.03,-0.0271,-0.0127,0.0017,0.0046
"R ant. Thalamus",1e-04,0.0088,0.5028,-0.0171,-0.0143,1e-04,0.0147,0.0176
"R ant. ventral Insula",0.0031,0.009,0.6296,-0.0142,-0.0115,0.003,0.0182,0.021
"R BLBM Amygdala",-0.0065,0.0094,0.2432,-0.0249,-0.022,-0.0064,0.0088,0.0118
"R BST",-0.0123,0.0136,0.1786,-0.04,-0.035,-0.0119,0.0095,0.0139
"R CeMe Amygdala",-0.007,0.0102,0.2426,-0.0276,-0.024,-0.0069,0.0094,0.0126
"R dlPFC",-0.0045,0.009,0.3048,-0.0218,-0.019,-0.0046,0.0104,0.0134
"R Hippocampus body",0.0016,0.0089,0.5682,-0.0159,-0.013,0.0015,0.0163,0.0191
"R Hippocampus tail",0.0033,0.0087,0.6495,-0.0137,-0.011,0.0033,0.0179,0.0208
"R Hypothalamus",0.009,0.0128,0.7568,-0.0141,-0.0107,0.0083,0.0311,0.0363
"R lat. OFC",-0.0049,0.0106,0.3178,-0.0257,-0.0223,-0.005,0.0124,0.0159
