"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.0999,0.1105,0.8187,-0.1164,-0.0809,0.0998,0.2829,0.3178
"L ant. Caudate",0.1051,0.1154,0.8184,-0.1194,-0.0831,0.1046,0.2952,0.3335
"L ant. dorsal Insula",0.1373,0.1122,0.8896,-0.0828,-0.0485,0.1375,0.3217,0.3574
"L ant. Hippocampus",-0.688,0.1417,0,-0.9667,-0.9217,-0.6876,-0.4561,-0.4128
"L ant. MCC",0.4354,0.1312,0.9996,0.1794,0.2211,0.4346,0.6504,0.6938
"L ant. Putamen",-0.0703,0.1169,0.2724,-0.297,-0.2607,-0.0707,0.1226,0.1593
"L ant. Thalamus",0.1237,0.1193,0.8495,-0.1108,-0.0723,0.1233,0.3206,0.3564
"L ant. ventral Insula",-0.0654,0.1176,0.2895,-0.2954,-0.2578,-0.0661,0.1301,0.1647
"L BLBM Amygdala",-0.2713,0.1433,0.0285,-0.5536,-0.5068,-0.2713,-0.0352,0.0086
"L BST",0.375,0.1784,0.9827,0.0259,0.0834,0.3752,0.6688,0.7282
"L CeMe Amygdala",-0.4913,0.1583,8e-04,-0.8059,-0.7527,-0.4899,-0.2332,-0.1843
"L Crus II",-0.171,0.1135,0.0664,-0.3937,-0.3583,-0.1713,0.0166,0.052
"L dlPFC",0.0606,0.1237,0.6845,-0.1792,-0.1399,0.0597,0.2645,0.3064
"L Hippocampus body",-0.2743,0.118,0.0096,-0.5071,-0.4687,-0.2738,-0.0803,-0.0432
"L Hippocampus tail",-0.2068,0.1148,0.035,-0.4335,-0.3964,-0.207,-0.0182,0.0182
"L Hypothalamus",-0.0703,0.1924,0.3568,-0.4474,-0.3868,-0.0708,0.2484,0.3088
"L lat. OFC",-0.2854,0.1228,0.0107,-0.5276,-0.4884,-0.2857,-0.0845,-0.0444
"L Lobule IX",-0.2491,0.1151,0.0152,-0.4751,-0.4382,-0.2481,-0.0582,-0.0215
"L med. OFC",-0.307,0.1162,0.0037,-0.5349,-0.4975,-0.3071,-0.1167,-0.0798
"L mid/post Insula",-0.1824,0.1085,0.0458,-0.3976,-0.3611,-0.1829,-0.0046,0.0277
"L PAG",0.1664,0.1529,0.8628,-0.1333,-0.084,0.1662,0.4202,0.4678
"L PCC",-0.5845,0.1411,0,-0.8618,-0.8172,-0.584,-0.3538,-0.3092
"L PCC/precuneus",-0.9347,0.1967,0,-1.3304,-1.2623,-0.9322,-0.6169,-0.5581
"L post. Caudate",-0.0476,0.1158,0.3386,-0.2754,-0.2382,-0.0474,0.1429,0.1796
