"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",0.1575,0.1121,0.9203,-0.0614,-0.0263,0.1578,0.3417,0.3783
"L__d_ant/med_Thalamus",-0.0085,0.1125,0.4688,-0.2287,-0.1939,-0.0087,0.176,0.2135
"L__v_med/post_Thalamus",-0.053,0.1071,0.3094,-0.2639,-0.2286,-0.0535,0.1221,0.157
"L_ACC",0.1898,0.1024,0.9679,-0.011,0.0207,0.1902,0.3577,0.391
"L_ant._Caudate",0.192,0.1063,0.9661,-0.0144,0.0185,0.1918,0.3672,0.3998
"L_ant._dorsal_Insula",0.1508,0.1043,0.9274,-0.0543,-0.02,0.1508,0.3212,0.3559
"L_ant._Hippocampus",-0.6108,0.1151,0,-0.8333,-0.7985,-0.6112,-0.4205,-0.3853
"L_ant._MCC",0.5709,0.1085,1,0.3563,0.393,0.5715,0.7487,0.7816
"L_ant._Putamen",0.0183,0.1071,0.5693,-0.192,-0.1581,0.0185,0.1951,0.2289
"L_ant._ventral_Insula",-0.0278,0.1067,0.3956,-0.2371,-0.2022,-0.0283,0.1471,0.1828
"L_BLBM_Amygdala",-0.1531,0.1163,0.0942,-0.3818,-0.345,-0.1532,0.04,0.0772
"L_BST",0.4078,0.1352,0.9987,0.144,0.1859,0.4085,0.6308,0.6748
"L_CeMe_Amygdala",-0.3478,0.1254,0.0027,-0.5934,-0.5543,-0.3474,-0.1429,-0.1025
"L_CrusI-krienen",-0.2702,0.1222,0.0134,-0.5079,-0.4703,-0.2703,-0.0697,-0.0312
"L_CrusI-shackman",0.0948,0.1104,0.8034,-0.1216,-0.0873,0.0956,0.2757,0.311
"L_dlPFC",0.0996,0.1089,0.8192,-0.1136,-0.0792,0.0994,0.2773,0.3127
"L_FEF",-0.1467,0.1123,0.0962,-0.3649,-0.3306,-0.1467,0.0373,0.0733
"L_Hippocampus_body",-0.3191,0.1081,0.0016,-0.5314,-0.4963,-0.3188,-0.1411,-0.1071
"L_Hippocampus_tail",-0.1697,0.1068,0.0566,-0.379,-0.3436,-0.1697,0.006,0.0404
"L_Hypothalamus",0.2101,0.1284,0.9483,-0.0434,-0.0024,0.2106,0.4192,0.4599
"L_IFG-1",-0.3404,0.1079,0.001,-0.5515,-0.5181,-0.3398,-0.1639,-0.1314
"L_IFG-2",-0.3729,0.1116,4e-04,-0.5926,-0.5562,-0.3728,-0.1881,-0.1526
"L_IFG-3",-0.1022,0.1181,0.1933,-0.3327,-0.2965,-0.1024,0.0917,0.1291
"L_IFG-4",-0.6058,0.1264,0,-0.8526,-0.8121,-0.6057,-0.3976,-0.3562
"L_IFG-5",0.3413,0.1088,0.9989,0.128,0.1631,0.3411,0.5212,0.5572
"L_IFG-6",0.2039,0.1175,0.9603,-0.0252,0.0127,0.204,0.3959,0.435
"L_lat._OFC",-0.3342,0.1142,0.0016,-0.5588,-0.5222,-0.334,-0.1453,-0.1108
"L_med._OFC",-0.2941,0.1096,0.0037,-0.5075,-0.4718,-0.2944,-0.1132,-0.0774
"L_mid/post_Insula",-0.1326,0.1031,0.0975,-0.3333,-0.3015,-0.1333,0.0379,0.0711
"L_PAG",0.2282,0.1192,0.973,-0.0038,0.0325,0.2277,0.4247,0.4614
"L_PCC",-0.643,0.1195,0,-0.8756,-0.8377,-0.6431,-0.4466,-0.4086
"L_PCC/precuneus",-1.0802,0.1573,0,-1.3867,-1.3387,-1.0808,-0.8218,-0.7721
"L_post._Caudate",-0.0192,0.1066,0.4271,-0.2266,-0.1934,-0.0192,0.1561,0.1912
