"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.0407,0.096,0.336,-0.2317,-0.1988,-0.0404,0.1156,0.1465
"L__d_ant/med_Thalamus",-0.0533,0.0968,0.2889,-0.2449,-0.2138,-0.0527,0.105,0.1366
"L__v_med/post_Thalamus",-0.0257,0.096,0.3928,-0.2151,-0.1832,-0.0255,0.1315,0.1617
"L_ACC",-0.0518,0.0967,0.296,-0.243,-0.2104,-0.0512,0.1064,0.1363
"L_ant._Caudate",-0.0279,0.096,0.384,-0.2183,-0.1864,-0.0278,0.1288,0.1587
"L_ant._dorsal_Insula",-0.0245,0.0962,0.3983,-0.2146,-0.1819,-0.0245,0.1337,0.1654
"L_ant._Hippocampus",-0.0334,0.0984,0.3657,-0.2252,-0.1941,-0.0332,0.1286,0.1602
"L_ant._MCC",-0.0243,0.0977,0.4012,-0.2179,-0.1852,-0.0239,0.1354,0.1675
"L_ant._Putamen",-0.0268,0.0962,0.3899,-0.216,-0.1848,-0.027,0.1312,0.1617
"L_ant._ventral_Insula",-0.0388,0.0957,0.3423,-0.2276,-0.1964,-0.0385,0.1184,0.1485
"L_BLBM_Amygdala",8e-04,0.1013,0.4998,-0.1962,-0.1646,-1e-04,0.1686,0.2022
"L_BST",-0.0362,0.0981,0.3539,-0.2311,-0.1978,-0.0358,0.1237,0.1552
"L_CeMe_Amygdala",-0.0276,0.098,0.3878,-0.2211,-0.1879,-0.0276,0.1329,0.1641
"L_CrusI-krienen",-0.0774,0.1027,0.2259,-0.2832,-0.2495,-0.0754,0.0877,0.1207
"L_CrusI-shackman",-0.0269,0.096,0.3905,-0.2163,-0.1839,-0.0266,0.1309,0.1601
"L_dlPFC",-0.0294,0.0958,0.3775,-0.2182,-0.1864,-0.0291,0.1285,0.1582
"L_FEF",-0.0229,0.0962,0.4039,-0.2118,-0.1808,-0.0229,0.1351,0.1653
"L_Hippocampus_body",-0.0364,0.096,0.3504,-0.2263,-0.1932,-0.0368,0.1206,0.1506
"L_Hippocampus_tail",-0.0334,0.0956,0.3628,-0.2224,-0.1908,-0.0334,0.1236,0.153
"L_Hypothalamus",-0.0074,0.0996,0.4656,-0.2023,-0.1704,-0.0084,0.1558,0.1896
"L_IFG-1",-0.0382,0.0963,0.3433,-0.2302,-0.1968,-0.0381,0.1198,0.1508
"L_IFG-2",-0.0395,0.0964,0.3409,-0.2296,-0.1983,-0.0396,0.1191,0.1499
"L_IFG-3",-0.0393,0.0964,0.3416,-0.2299,-0.1984,-0.0389,0.1186,0.1492
"L_IFG-4",-0.0527,0.0995,0.2958,-0.2494,-0.2177,-0.0526,0.1118,0.1412
"L_IFG-5",-0.0302,0.0964,0.3747,-0.2197,-0.1884,-0.0301,0.1283,0.1579
"L_IFG-6",-0.0414,0.0965,0.3332,-0.2332,-0.2012,-0.041,0.1164,0.1465
