"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.1816,0.105,0.0401,-0.3902,-0.3552,-0.1807,-0.0107,0.0202
"L__d_ant/med_Thalamus",-0.2212,0.1077,0.0178,-0.4398,-0.4018,-0.2187,-0.0491,-0.017
"L__v_med/post_Thalamus",-0.1498,0.1035,0.071,-0.3559,-0.3214,-0.1487,0.0179,0.0512
"L_ACC",-0.1909,0.1035,0.0309,-0.3973,-0.3627,-0.1895,-0.0235,0.01
"L_ant._Caudate",-0.1706,0.1042,0.0477,-0.3794,-0.3445,-0.1689,-0.0023,0.0307
"L_ant._dorsal_Insula",-0.1466,0.104,0.077,-0.3527,-0.3186,-0.1454,0.0224,0.0553
"L_ant._Hippocampus",-0.1315,0.1072,0.1075,-0.3438,-0.3084,-0.13,0.0431,0.0762
"L_ant._MCC",-0.1645,0.1069,0.0596,-0.3774,-0.3409,-0.1631,0.0089,0.0439
"L_ant._Putamen",-0.155,0.1042,0.0656,-0.3631,-0.3285,-0.1531,0.014,0.0467
"L_ant._ventral_Insula",-0.1734,0.1042,0.0458,-0.3814,-0.3471,-0.1721,-0.0044,0.0293
"L_BLBM_Amygdala",-0.0608,0.1152,0.2942,-0.2846,-0.2501,-0.0617,0.1288,0.1702
"L_BST",-0.1653,0.1106,0.0646,-0.3841,-0.3484,-0.1644,0.0151,0.0527
"L_CeMe_Amygdala",-0.0985,0.1137,0.1885,-0.3193,-0.2841,-0.0997,0.0895,0.1306
"L_CrusI-krienen",-0.2728,0.1215,0.0084,-0.5262,-0.4797,-0.2679,-0.0818,-0.0465
"L_CrusI-shackman",-0.1672,0.1043,0.0518,-0.3749,-0.3409,-0.1655,0.0019,0.0351
"L_dlPFC",-0.1503,0.1047,0.072,-0.3583,-0.3249,-0.1489,0.02,0.0521
"L_FEF",-0.1128,0.1064,0.1412,-0.323,-0.2878,-0.1125,0.0603,0.0959
"L_Hippocampus_body",-0.1286,0.1049,0.1077,-0.3358,-0.3031,-0.1277,0.0421,0.0774
"L_Hippocampus_tail",-0.1457,0.1033,0.0757,-0.3506,-0.3172,-0.1449,0.0218,0.0546
"L_Hypothalamus",-0.1282,0.1072,0.1126,-0.3409,-0.3048,-0.1274,0.0472,0.0825
"L_IFG-1",-0.1512,0.105,0.0734,-0.3587,-0.3244,-0.1503,0.0204,0.0507
"L_IFG-2",-0.1544,0.1051,0.0674,-0.363,-0.3291,-0.1532,0.0152,0.0488
"L_IFG-3",-0.1769,0.1061,0.0447,-0.3896,-0.3541,-0.1746,-0.0053,0.0275
"L_IFG-4",-0.2134,0.1143,0.0275,-0.4458,-0.4067,-0.21,-0.0305,0.0044
"L_IFG-5",-0.1722,0.105,0.0481,-0.3803,-0.3459,-0.1707,-0.0019,0.0316
"L_IFG-6",-0.1988,0.1061,0.0289,-0.4116,-0.3757,-0.1971,-0.0279,0.0069
"L_lat._OFC",-0.1432,0.1047,0.0838,-0.3504,-0.3181,-0.1419,0.0269,0.0612
"L_med._OFC",-0.1264,0.105,0.1108,-0.3332,-0.3007,-0.1252,0.0442,0.0772
"L_mid/post_Insula",-0.1308,0.1035,0.1007,-0.3348,-0.3024,-0.1302,0.0385,0.0705
"L_PAG",-0.138,0.1072,0.0961,-0.3507,-0.3162,-0.1371,0.0367,0.0713
"L_PCC",-0.1246,0.108,0.1211,-0.3376,-0.303,-0.1228,0.0516,0.0842
"L_PCC/precuneus",-0.2194,0.1218,0.0334,-0.4636,-0.4228,-0.2168,-0.0227,0.0151
"L_post._Caudate",-0.1872,0.1038,0.0328,-0.395,-0.3595,-0.1857,-0.0202,0.0126
"L_post._MCC",-0.211,0.1044,0.0188,-0.4212,-0.3861,-0.2092,-0.0428,-0.0118
"L_post._Putamen",-0.1734,0.1052,0.0473,-0.3838,-0.3471,-0.1722,-0.0027,0.0307
"L_pre-SMA",-0.1735,0.1041,0.0444,-0.3831,-0.3462,-0.1721,-0.0057,0.0293
"L_pregenual_ACC",-0.1547,0.1037,0.0659,-0.3625,-0.3265,-0.1539,0.0136,0.0457
"L_v_ant/inf_Thalamus",-0.1949,0.1047,0.0286,-0.4034,-0.3694,-0.1929,-0.0262,0.0063
"L_v_ant/sup_Thalamus",-0.2495,0.1155,0.0122,-0.4856,-0.4448,-0.2458,-0.0657,-0.0317
