"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.0236,0.0672,0.3613,-0.1571,-0.1353,-0.0235,0.0864,0.1076
"L__d_ant/med_Thalamus",-0.0254,0.0687,0.3558,-0.1623,-0.1397,-0.0247,0.0866,0.1079
"L__v_med/post_Thalamus",-0.0223,0.067,0.3688,-0.155,-0.1329,-0.0214,0.0872,0.1079
"L_ACC",-0.0277,0.0669,0.3362,-0.1604,-0.1388,-0.0271,0.0812,0.1033
"L_ant._Caudate",-0.0349,0.0671,0.2993,-0.1684,-0.1461,-0.0343,0.0742,0.0958
"L_ant._dorsal_Insula",-0.0243,0.0669,0.3555,-0.1581,-0.1348,-0.024,0.0848,0.1072
"L_ant._Hippocampus",0.0021,0.07,0.5117,-0.1355,-0.1127,0.002,0.117,0.1393
"L_ant._MCC",-0.0084,0.0681,0.4487,-0.1429,-0.12,-0.0086,0.1045,0.1272
"L_ant._Putamen",-0.0369,0.0673,0.2903,-0.1712,-0.1487,-0.0363,0.0727,0.0951
"L_ant._ventral_Insula",-0.0292,0.0671,0.3332,-0.1624,-0.1406,-0.028,0.0791,0.101
"L_BLBM_Amygdala",-0.0238,0.0683,0.3651,-0.1601,-0.1361,-0.0232,0.0871,0.1097
"L_BST",9e-04,0.0717,0.5039,-0.1392,-0.116,8e-04,0.1198,0.1434
"L_CeMe_Amygdala",-0.0316,0.0721,0.3352,-0.178,-0.1524,-0.0298,0.0831,0.1059
"L_CrusI-krienen",-0.0553,0.0706,0.2156,-0.1982,-0.1733,-0.0538,0.0582,0.0792
"L_CrusI-shackman",-0.0178,0.0676,0.3919,-0.1506,-0.1284,-0.0182,0.0939,0.115
"L_dlPFC",-0.0198,0.0677,0.3843,-0.1531,-0.1305,-0.0199,0.0918,0.1149
"L_FEF",0.0187,0.0709,0.6014,-0.1182,-0.0956,0.0175,0.1374,0.1614
"L_Hippocampus_body",-0.016,0.0693,0.4107,-0.1546,-0.1304,-0.0154,0.0972,0.1207
"L_Hippocampus_tail",-0.0054,0.0678,0.4674,-0.1387,-0.1161,-0.0053,0.1062,0.128
"L_Hypothalamus",0.0141,0.0712,0.5714,-0.1214,-0.0999,0.0129,0.1328,0.158
"L_IFG-1",0.0011,0.0678,0.5036,-0.1313,-0.109,6e-04,0.1133,0.1364
"L_IFG-2",9e-04,0.068,0.5038,-0.1315,-0.1099,6e-04,0.1135,0.1351
"L_IFG-3",-0.0328,0.0675,0.3149,-0.1662,-0.1438,-0.0317,0.0777,0.0993
"L_IFG-4",-0.0257,0.0682,0.3533,-0.161,-0.1383,-0.0248,0.0856,0.1074
"L_IFG-5",-0.0355,0.0676,0.2973,-0.1698,-0.147,-0.0352,0.0752,0.097
"L_IFG-6",-0.051,0.0695,0.2317,-0.1913,-0.1674,-0.0494,0.0605,0.0815
"L_lat._OFC",-0.0149,0.0672,0.4103,-0.147,-0.125,-0.0148,0.0954,0.1166
"L_med._OFC",-0.0073,0.0668,0.4521,-0.1383,-0.1166,-0.0079,0.1028,0.1241
"L_mid/post_Insula",0.0021,0.0674,0.5096,-0.129,-0.1077,0.0015,0.1141,0.1372
"L_PAG",-0.0165,0.0687,0.4044,-0.1515,-0.1292,-0.0165,0.0969,0.1206
"L_PCC",0.0322,0.0785,0.6552,-0.1159,-0.0929,0.0302,0.1637,0.1926
"L_PCC/precuneus",-0.0256,0.0772,0.3743,-0.1828,-0.1554,-0.024,0.097,0.1202
"L_post._Caudate",-0.0514,0.0685,0.2234,-0.187,-0.1653,-0.0506,0.0596,0.0806
"L_post._MCC",-0.0434,0.0673,0.2619,-0.1769,-0.156,-0.0425,0.0655,0.0856
"L_post._Putamen",-0.0408,0.0677,0.2722,-0.1761,-0.1531,-0.0394,0.0684,0.0877
"L_pre-SMA",-0.0204,0.0685,0.3847,-0.158,-0.1339,-0.0192,0.09,0.1133
"L_pregenual_ACC",-0.0232,0.0664,0.3632,-0.1552,-0.1327,-0.0226,0.0848,0.1058
"L_v_ant/inf_Thalamus",-0.0542,0.0696,0.2161,-0.196,-0.1715,-0.0524,0.0582,0.079
"L_v_ant/sup_Thalamus",-0.0963,0.0838,0.1164,-0.2752,-0.2422,-0.091,0.0322,0.0543
"L_v_lat/post_Thalamus",-0.011,0.0686,0.4306,-0.145,-0.1233,-0.0115,0.1021,0.1253
"L_Ventral_striatum",-0.0256,0.067,0.3498,-0.1579,-0.1365,-0.0252,0.0838,0.1052
"M_PCC",0.0159,0.0725,0.5865,-0.1242,-0.1022,0.0156,0.1356,0.1597
"M_vmPFC1",0.0168,0.0716,0.591,-0.1203,-0.0987,0.0157,0.1364,0.1608
"M_vmPFC2",-0.0049,0.0677,0.4704,-0.1372,-0.1161,-0.0049,0.1062,0.1291
"R_ACC",-0.0403,0.0677,0.2751,-0.1739,-0.1527,-0.04,0.0698,0.092
"R_ant._Caudate",-0.0446,0.0674,0.2507,-0.1791,-0.1569,-0.0437,0.0658,0.0865
"R_ant._dorsal_Insula",-0.0281,0.0678,0.3356,-0.1621,-0.1399,-0.0282,0.0831,0.1059
"R_ant._Hippocampus",0.0321,0.0738,0.6665,-0.1088,-0.0868,0.0305,0.1548,0.1807
"R_ant._MCC",-0.0196,0.0677,0.3847,-0.1537,-0.1305,-0.0196,0.0913,0.1124
"R_ant._Putamen",-0.0449,0.068,0.2525,-0.1803,-0.1576,-0.0441,0.0662,0.0876
"R_ant._ventral_Insula",-0.0112,0.0677,0.4298,-0.1432,-0.1212,-0.0118,0.1002,0.1236
"R_BLBM_Amygdala",0.0036,0.069,0.5189,-0.1304,-0.1089,0.003,0.1182,0.1404
"R_BST",-0.0448,0.07,0.2595,-0.1864,-0.1622,-0.0436,0.068,0.0896
"R_CeMe_Amygdala",-0.0103,0.0687,0.4409,-0.1466,-0.1239,-0.0099,0.1025,0.1243
"R_CrusI-krienen",-0.0358,0.0684,0.3006,-0.1715,-0.1501,-0.0351,0.0751,0.0963
"R_CrusI-shackman",-0.0293,0.0673,0.3307,-0.1629,-0.1414,-0.0285,0.0803,0.102
"R_d_ant/lat_Thalamus",-0.0203,0.067,0.3787,-0.1512,-0.1298,-0.0204,0.0902,0.1114
"R_d_ant/med_Thalamus",-0.0329,0.0681,0.3154,-0.1686,-0.1461,-0.032,0.0773,0.0988
"R_dlPFC",-0.0135,0.0685,0.4195,-0.1475,-0.1254,-0.0137,0.0997,0.1228
"R_FEF",0.0397,0.0758,0.6984,-0.1041,-0.0821,0.0378,0.1674,0.1953
"R_Hippocampus_body",-7e-04,0.0683,0.4942,-0.1341,-0.1123,-0.0011,0.1105,0.1329
"R_Hippocampus_tail",-0.0059,0.0675,0.4664,-0.138,-0.1166,-0.0057,0.1047,0.1268
"R_Hypothalamus",0.0359,0.0784,0.6701,-0.1111,-0.0882,0.0327,0.1706,0.1991
"R_IFG-1",0.014,0.0709,0.575,-0.1229,-0.1007,0.0127,0.1324,0.1573
"R_IFG-2",-0.0047,0.0681,0.4712,-0.1383,-0.1161,-0.0048,0.1068,0.1298
"R_IFG-3",-0.048,0.0701,0.2447,-0.1894,-0.1641,-0.0471,0.0665,0.0884
"R_IFG-4",-0.0296,0.068,0.3294,-0.1642,-0.1423,-0.0294,0.0812,0.1034
"R_IFG-5",-0.0582,0.0713,0.2062,-0.2017,-0.1774,-0.0568,0.0574,0.078
"R_IFG-6",-0.0306,0.068,0.325,-0.1658,-0.1434,-0.0305,0.0805,0.1021
"R_lat._OFC",-0.0079,0.0694,0.45,-0.1432,-0.1203,-0.0083,0.1069,0.1303
"R_med._OFC",8e-04,0.0674,0.5027,-0.1314,-0.1087,4e-04,0.1121,0.1342
"R_mid/post_Insula",-4e-04,0.0677,0.4972,-0.1339,-0.1112,-5e-04,0.1113,0.1337
"R_PAG",-0.0312,0.0687,0.3224,-0.1678,-0.145,-0.0311,0.0816,0.104
"R_PCC",0.0411,0.0802,0.6938,-0.1112,-0.0886,0.04,0.1748,0.2004
"R_PCC/precuneus",-0.0035,0.0762,0.4864,-0.1563,-0.1296,-0.0025,0.1205,0.1451
"R_post._Caudate",-0.0449,0.0682,0.2552,-0.1818,-0.16,-0.044,0.0659,0.0857
"R_post._MCC",-0.0539,0.069,0.2157,-0.1935,-0.1704,-0.0527,0.0574,0.0789
"R_post._Putamen",-0.0495,0.0686,0.2343,-0.1883,-0.1644,-0.0481,0.0605,0.0824
"R_pre-SMA",-0.0645,0.072,0.1829,-0.2101,-0.1862,-0.0625,0.0509,0.0724
"R_pregenual_ACC",-0.0217,0.0671,0.3732,-0.1546,-0.1324,-0.0214,0.0879,0.1099
"R_v_ant/inf_Thalamus",-0.0326,0.0669,0.3122,-0.1654,-0.1432,-0.0322,0.0761,0.0966
"R_v_ant/sup_Thalamus",-0.0824,0.0766,0.136,-0.2417,-0.2136,-0.0794,0.0389,0.0605
"R_v_lat/post_Thalamus",-0.0137,0.0687,0.4225,-0.1493,-0.1264,-0.0134,0.0986,0.1213
"R_v_med/post_Thalamus",-0.0056,0.0671,0.465,-0.1378,-0.1147,-0.0059,0.1056,0.1273
"R_Ventral_striatum",-0.0261,0.0672,0.3496,-0.16,-0.1379,-0.025,0.0827,0.1042
