"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.0512,0.074,0.2416,-0.1955,-0.1719,-0.0518,0.0705,0.0964
"L__d_ant/med_Thalamus",-0.0752,0.0779,0.162,-0.2307,-0.2048,-0.0741,0.0509,0.0763
"L__v_med/post_Thalamus",-0.0501,0.0732,0.2401,-0.1931,-0.1697,-0.0504,0.0717,0.095
"L_ACC",-0.0622,0.0726,0.193,-0.2043,-0.1805,-0.0623,0.0572,0.0803
"L_ant._Caudate",-0.0648,0.0729,0.1868,-0.2067,-0.1843,-0.0654,0.0559,0.0793
"L_ant._dorsal_Insula",-0.0442,0.0728,0.2662,-0.1856,-0.1623,-0.045,0.0761,0.1015
"L_ant._Hippocampus",-0.0231,0.077,0.3791,-0.1722,-0.1474,-0.024,0.1049,0.1316
"L_ant._MCC",-0.0139,0.075,0.4177,-0.1576,-0.1339,-0.0157,0.111,0.1382
"L_ant._Putamen",-0.0611,0.0729,0.1995,-0.2035,-0.181,-0.0612,0.0582,0.0823
"L_ant._ventral_Insula",-0.0356,0.073,0.3064,-0.1755,-0.1542,-0.0363,0.0852,0.1104
"L_BLBM_Amygdala",-0.0531,0.0758,0.2361,-0.2023,-0.1773,-0.0533,0.0713,0.0971
"L_BST",-0.0057,0.0823,0.4584,-0.161,-0.136,-0.0082,0.1334,0.1642
"L_CeMe_Amygdala",-0.0586,0.078,0.223,-0.2152,-0.189,-0.058,0.0685,0.0937
"L_CrusI-krienen",-0.0993,0.0792,0.1003,-0.2593,-0.2318,-0.0977,0.0273,0.052
"L_CrusI-shackman",-0.05,0.0735,0.2464,-0.1946,-0.1705,-0.05,0.0707,0.0945
"L_dlPFC",-0.0446,0.0742,0.2706,-0.1887,-0.1656,-0.0455,0.0775,0.1034
"L_FEF",0.0047,0.0775,0.5142,-0.1421,-0.1187,0.0026,0.1352,0.1628
"L_Hippocampus_body",-0.0531,0.0757,0.2379,-0.2025,-0.1778,-0.0527,0.0706,0.0959
"L_Hippocampus_tail",-0.0516,0.0741,0.2409,-0.1973,-0.1735,-0.0515,0.0694,0.093
"L_Hypothalamus",-0.0126,0.0761,0.4274,-0.1599,-0.1349,-0.0135,0.1147,0.1407
"L_IFG-1",-0.0194,0.0742,0.3888,-0.1631,-0.1391,-0.0202,0.1028,0.1296
"L_IFG-2",-0.0114,0.0751,0.4302,-0.1551,-0.1324,-0.0129,0.1137,0.1418
"L_IFG-3",-0.0563,0.0746,0.2216,-0.2033,-0.178,-0.0568,0.0658,0.0912
"L_IFG-4",-0.0476,0.0742,0.257,-0.1936,-0.1694,-0.048,0.0747,0.0985
"L_IFG-5",-0.0558,0.0735,0.2212,-0.1986,-0.176,-0.0562,0.0647,0.0881
"L_IFG-6",-0.0516,0.0754,0.2428,-0.196,-0.174,-0.0527,0.0734,0.0992
"L_lat._OFC",-0.0371,0.0735,0.3018,-0.1794,-0.1565,-0.0381,0.085,0.1096
"L_med._OFC",-0.0308,0.0727,0.3306,-0.1715,-0.1487,-0.0311,0.0893,0.1142
"L_mid/post_Insula",-0.0167,0.0729,0.4026,-0.1587,-0.1347,-0.0176,0.1041,0.1291
"L_PAG",-0.0413,0.0756,0.2847,-0.1882,-0.1645,-0.042,0.0841,0.1112
"L_PCC",-0.0562,0.0872,0.2563,-0.2345,-0.2043,-0.0536,0.0822,0.1092
"L_PCC/precuneus",-0.0782,0.0869,0.1787,-0.2567,-0.225,-0.0758,0.0606,0.087
"L_post._Caudate",-0.0928,0.0762,0.1079,-0.2441,-0.2196,-0.0915,0.0306,0.0548
"L_post._MCC",-0.0601,0.0726,0.2008,-0.2012,-0.1787,-0.061,0.0602,0.0837
"L_post._Putamen",-0.0557,0.073,0.2196,-0.1985,-0.1752,-0.0559,0.0644,0.089
"L_pre-SMA",-0.0098,0.0772,0.4355,-0.1572,-0.1329,-0.0123,0.1199,0.1486
"L_pregenual_ACC",-0.0575,0.0722,0.2102,-0.1987,-0.1758,-0.0573,0.061,0.0844
"L_v_ant/inf_Thalamus",-0.0933,0.0763,0.1063,-0.2468,-0.2191,-0.0927,0.0296,0.0544
"L_v_ant/sup_Thalamus",-0.1434,0.0909,0.0475,-0.3336,-0.2991,-0.1387,-0.0016,0.024
"L_v_lat/post_Thalamus",-0.0559,0.0752,0.226,-0.2054,-0.1805,-0.0556,0.067,0.0912
