"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.1034,0.0936,0.1362,-0.2878,-0.2569,-0.1036,0.0504,0.0797
"L__d_ant/med_Thalamus",-0.3192,0.0925,2e-04,-0.5019,-0.4725,-0.3185,-0.1678,-0.1391
"L__v_med/post_Thalamus",-0.0999,0.0871,0.1232,-0.2698,-0.2427,-0.1003,0.0438,0.0726
"L_ACC",0.087,0.0824,0.855,-0.0748,-0.0477,0.0865,0.2226,0.2489
"L_ant._Caudate",0.1619,0.0843,0.9724,-0.004,0.0232,0.1617,0.3019,0.3287
"L_ant._dorsal_Insula",0.1592,0.0816,0.9743,-0.0011,0.0262,0.1588,0.2937,0.3189
"L_ant._Hippocampus",-0.5552,0.0962,0,-0.7453,-0.7134,-0.5547,-0.3969,-0.3672
"L_ant._MCC",-0.0482,0.0884,0.2921,-0.2208,-0.194,-0.048,0.0966,0.124
"L_ant._Putamen",0.2024,0.0853,0.9904,0.0347,0.0628,0.2026,0.3422,0.3681
"L_ant._ventral_Insula",0.0487,0.0863,0.714,-0.1219,-0.0932,0.0489,0.1915,0.2185
"L_BLBM_Amygdala",-0.2126,0.1016,0.0177,-0.4116,-0.3804,-0.2119,-0.0478,-0.015
"L_BST",-0.4114,0.124,4e-04,-0.655,-0.6142,-0.412,-0.2057,-0.1643
"L_CeMe_Amygdala",-0.3885,0.1169,5e-04,-0.6215,-0.5823,-0.387,-0.1983,-0.1631
"L_CrusI-krienen",0.1708,0.1015,0.9544,-0.0279,0.0045,0.1708,0.3381,0.3701
"L_CrusI-shackman",0.0588,0.0903,0.744,-0.1187,-0.089,0.0588,0.2062,0.2347
"L_dlPFC",0.1227,0.0914,0.9117,-0.0565,-0.0278,0.123,0.2736,0.3025
"L_FEF",-0.224,0.0931,0.0081,-0.4071,-0.3766,-0.2242,-0.0711,-0.04
"L_Hippocampus_body",-0.5061,0.0897,0,-0.6822,-0.654,-0.5056,-0.3594,-0.3315
"L_Hippocampus_tail",-0.3428,0.0882,0,-0.5166,-0.4876,-0.3423,-0.1984,-0.1713
"L_Hypothalamus",-0.2419,0.1066,0.0116,-0.4491,-0.4172,-0.2414,-0.0672,-0.0347
"L_IFG-1",-0.2597,0.0865,0.0014,-0.4279,-0.4022,-0.2594,-0.1182,-0.0898
"L_IFG-2",-0.2025,0.0915,0.0138,-0.3798,-0.3522,-0.2034,-0.0502,-0.0222
"L_IFG-3",0.0993,0.096,0.8516,-0.0907,-0.0602,0.0992,0.2569,0.2884
"L_IFG-4",-0.1407,0.1009,0.0814,-0.3391,-0.3068,-0.1407,0.0255,0.0577
"L_IFG-5",0.2864,0.0831,0.9996,0.1244,0.1499,0.286,0.4232,0.4498
