"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.5842,0.0295,1,0.5273,0.5355,0.5842,0.6328,0.6426
"L ant. Caudate",0.6543,0.0301,1,0.5956,0.6053,0.6545,0.7036,0.7132
"L ant. dorsal Insula",0.5019,0.0297,1,0.443,0.4527,0.502,0.5512,0.5606
"L ant. Hippocampus",0.3981,0.0304,1,0.3386,0.3484,0.398,0.4478,0.4578
"L ant. MCC",0.5118,0.0294,1,0.4523,0.4629,0.512,0.5602,0.5696
"L ant. Putamen",0.4855,0.0297,1,0.4276,0.437,0.4853,0.5345,0.5441
"L ant. Thalamus",0.5809,0.0295,1,0.523,0.5324,0.5808,0.6295,0.639
"L ant. ventral Insula",0.55,0.0297,1,0.4919,0.5013,0.5498,0.5993,0.6085
"L BLBM Amygdala",0.2557,0.0305,1,0.1961,0.2054,0.2555,0.3057,0.3153
"L CeMe Amygdala",0.3212,0.0302,1,0.2618,0.2717,0.3212,0.3708,0.3809
"L Crus II",0.4024,0.0302,1,0.344,0.3528,0.4023,0.4523,0.4616
"L dlPFC",0.3523,0.0297,1,0.2935,0.3027,0.3522,0.4011,0.4103
"L Hippocampus body",0.4472,0.03,1,0.3886,0.3981,0.4471,0.4974,0.5073
"L Hippocampus tail",0.4356,0.0301,1,0.3757,0.3859,0.4354,0.4856,0.4955
"L Hypothalamus",0.0238,0.032,0.7756,-0.0398,-0.0286,0.0236,0.0762,0.087
"L lat. OFC",0.3031,0.0303,1,0.2436,0.2528,0.3032,0.3531,0.363
"L Lobule IX",0.3677,0.0301,1,0.3085,0.3186,0.3676,0.417,0.4268
"L med. OFC",0.3867,0.0302,1,0.3273,0.337,0.3867,0.4363,0.4458
"L mid/post Insula",0.4937,0.0294,1,0.4362,0.4458,0.4937,0.5422,0.5514
"L PAG",0.2747,0.0309,1,0.2145,0.2239,0.2747,0.326,0.3359
"L PCC",0.3862,0.0301,1,0.327,0.3366,0.3859,0.436,0.4456
"L PCC/precuneus",0.4098,0.0301,1,0.3508,0.3608,0.4093,0.4598,0.4701
"L post. Caudate",0.5108,0.0299,1,0.4523,0.4613,0.5107,0.5601,0.5701
"L post. Putamen",0.4913,0.0293,1,0.4342,0.443,0.491,0.5398,0.5489
"L post. Thalamus",0.552,0.0297,1,0.494,0.5032,0.5516,0.601,0.611
"L pre-SMA",0.4153,0.0296,1,0.3572,0.3668,0.4152,0.4643,0.4746
"L Ventral striatum",0.6018,0.0303,1,0.5427,0.5521,0.6017,0.6517,0.6617
"M PCC",0.4462,0.03,1,0.3869,0.3968,0.446,0.496,0.5063
"M vmPFC1",0.4427,0.03,1,0.3836,0.3932,0.4425,0.4918,0.5019
"M vmPFC2",0.3856,0.0305,1,0.3252,0.3354,0.3852,0.4357,0.4456
"R ACC",0.5475,0.0298,1,0.4889,0.4986,0.5473,0.5966,0.6066
"R ant. Caudate",0.6344,0.03,1,0.5753,0.5851,0.6345,0.6838,0.6935
"R ant. dorsal Insula",0.4486,0.0299,1,0.3901,0.3994,0.4481,0.4979,0.5081
"R ant. Hippocampus",0.3794,0.0303,1,0.3198,0.3294,0.3794,0.4297,0.44
"R ant. MCC",0.4967,0.0297,1,0.4389,0.448,0.4967,0.5458,0.5557
"R ant. Putamen",0.4887,0.0296,1,0.4305,0.4409,0.4884,0.5376,0.5474
"R ant. Thalamus",0.588,0.0298,1,0.5286,0.539,0.5882,0.6369,0.647
"R ant. ventral Insula",0.5393,0.0296,1,0.4812,0.491,0.5392,0.5884,0.598
"R BLBM Amygdala",0.2527,0.0305,1,0.1924,0.203,0.2526,0.3026,0.3124
"R BST",0.7035,0.0306,1,0.6435,0.6533,0.7036,0.7536,0.763
"R CeMe Amygdala",0.3503,0.0304,1,0.2906,0.3001,0.3504,0.4009,0.4102
"R dlPFC",0.3551,0.0299,1,0.2963,0.3061,0.3548,0.4045,0.4146
"R Hippocampus body",0.442,0.0297,1,0.3838,0.3929,0.4421,0.4904,0.5001
"R Hippocampus tail",0.4668,0.0298,1,0.4085,0.4178,0.4667,0.5163,0.5258
"R Hypothalamus",0.0271,0.0323,0.8048,-0.0364,-0.0262,0.0268,0.0809,0.0916
"R lat. OFC",0.3411,0.0302,1,0.2819,0.2914,0.341,0.3909,0.4003
"R Lobule IX",0.4288,0.0299,1,0.3704,0.3801,0.4288,0.4779,0.4882
"R med. OFC",0.3637,0.0301,1,0.3048,0.3144,0.3635,0.4138,0.4238
"R mid/post Insula",0.4706,0.0297,1,0.4118,0.4215,0.4704,0.5195,0.529
"R PAG",0.2422,0.0305,1,0.1814,0.192,0.2422,0.2922,0.3016
"R PCC",0.4037,0.0301,1,0.3437,0.3537,0.4036,0.4533,0.4631
"R PCC/precuneus",0.3929,0.03,1,0.3352,0.3439,0.3928,0.4422,0.4529
"R post. Caudate",0.45,0.0298,1,0.3909,0.4012,0.4499,0.4998,0.5094
"R post. Putamen",0.4893,0.0296,1,0.4313,0.4404,0.4891,0.5385,0.5474
"R post. Thalamus",0.5284,0.0294,1,0.4713,0.48,0.5282,0.5774,0.5873
"R pre-SMA",0.4254,0.0295,1,0.3681,0.3776,0.4251,0.4739,0.4843
"R Ventral striatum",0.5555,0.0299,1,0.4967,0.5061,0.5552,0.6048,0.6146
