"mean","SD","2-sided-p","2.5%","5%","50%","95%","97.5%"
"L ACC",0.5987,0.0285,0,0.4762,0.5516,0.5987,0.6818,0.6548
"L ant. Caudate",0.6719,0.0283,0,0.5503,0.6252,0.6719,0.7545,0.7276
"L ant. dorsal Insula",0.5149,0.0278,0,0.3952,0.4689,0.5149,0.5961,0.5697
"L ant. Hippocampus",0.4049,0.0273,0,0.2876,0.3599,0.4049,0.4845,0.4586
"L ant. MCC",0.522,0.0268,0,0.4068,0.4778,0.522,0.6002,0.5748
"L ant. Putamen",0.4946,0.0254,0,0.3851,0.4526,0.4946,0.5689,0.5448
"L ant. Thalamus",0.5907,0.0264,0,0.4773,0.5472,0.5907,0.6677,0.6427
"L ant. ventral Insula",0.5582,0.0298,0,0.4299,0.5089,0.5582,0.6452,0.6169
"L BLBM Amygdala",0.2545,0.0269,0,0.1387,0.21,0.2545,0.3332,0.3076
"L CeMe Amygdala",0.311,0.0256,0,0.2009,0.2687,0.311,0.3857,0.3614
"L Crus II",0.4123,0.0255,0,0.3027,0.3703,0.4123,0.4867,0.4625
"L dlPFC",0.3549,0.0257,0,0.2443,0.3125,0.3549,0.4301,0.4057
"L Hippocampus body",0.4525,0.0263,0,0.3392,0.409,0.4525,0.5294,0.5044
"L Hippocampus tail",0.4369,0.0274,0,0.3189,0.3916,0.4369,0.517,0.491
"L Hypothalamus",0.004,0.0257,0.8768,-0.1067,-0.0385,0.004,0.0791,0.0547
"L lat. OFC",0.31,0.0239,0,0.2071,0.2705,0.31,0.3798,0.3571
"L Lobule IX",0.3673,0.0263,0,0.2543,0.3239,0.3673,0.4439,0.419
"L med. OFC",0.3907,0.0256,0,0.2806,0.3484,0.3907,0.4654,0.4412
"L mid/post Insula",0.5007,0.0273,0,0.3834,0.4557,0.5007,0.5804,0.5545
"L PAG",0.2798,0.0231,0,0.1804,0.2416,0.2798,0.3473,0.3254
"L PCC",0.3968,0.0258,0,0.2858,0.3542,0.3968,0.4721,0.4477
"L PCC/precuneus",0.4156,0.0273,0,0.2983,0.3706,0.4156,0.4952,0.4694
"L post. Caudate",0.5249,0.0271,0,0.4083,0.4801,0.5249,0.6041,0.5784
"L post. Putamen",0.498,0.0268,0,0.3829,0.4538,0.498,0.5761,0.5507
"L post. Thalamus",0.566,0.0262,0,0.4535,0.5228,0.566,0.6424,0.6176
"L pre-SMA",0.4223,0.026,0,0.3106,0.3794,0.4223,0.4981,0.4734
"L Ventral striatum",0.6207,0.028,0,0.5002,0.5745,0.6207,0.7025,0.676
"M PCC",0.4516,0.0279,0,0.3315,0.4055,0.4516,0.533,0.5066
"M vmPFC1",0.4466,0.0279,0,0.3264,0.4005,0.4466,0.5281,0.5016
"M vmPFC2",0.4015,0.0257,0,0.2909,0.359,0.4015,0.4765,0.4521
"R ACC",0.5639,0.0294,0,0.4373,0.5153,0.5639,0.6499,0.622
"R ant. Caudate",0.6622,0.0287,0,0.5387,0.6148,0.6622,0.746,0.7188
"R ant. dorsal Insula",0.461,0.0297,0,0.3334,0.412,0.461,0.5476,0.5195
"R ant. Hippocampus",0.3892,0.025,0,0.2818,0.348,0.3892,0.4621,0.4384
"R ant. MCC",0.5044,0.0268,0,0.3892,0.4602,0.5044,0.5826,0.5572
"R ant. Putamen",0.4998,0.0252,0,0.3912,0.4581,0.4998,0.5734,0.5495
"R ant. Thalamus",0.6006,0.0252,0,0.4921,0.5589,0.6006,0.6742,0.6503
"R ant. ventral Insula",0.549,0.027,0,0.4327,0.5044,0.549,0.628,0.6023
"R BLBM Amygdala",0.2582,0.0273,0,0.1407,0.2131,0.2582,0.338,0.3121
"R BST",0.722,0.0281,0,0.6013,0.6756,0.722,0.8039,0.7773
"R CeMe Amygdala",0.3538,0.0289,0,0.2295,0.3061,0.3538,0.4381,0.4107
"R dlPFC",0.3619,0.0251,0,0.2539,0.3205,0.3619,0.4353,0.4114
"R Hippocampus body",0.4526,0.0246,0,0.3468,0.412,0.4526,0.5244,0.5011
"R Hippocampus tail",0.4665,0.0277,0,0.3474,0.4208,0.4665,0.5473,0.5211
"R Hypothalamus",0.0052,0.0265,0.8457,-0.1087,-0.0386,0.0052,0.0825,0.0573
"R lat. OFC",0.3431,0.0244,0,0.2382,0.3028,0.3431,0.4143,0.3912
"R Lobule IX",0.4405,0.025,0,0.3328,0.3991,0.4405,0.5135,0.4898
"R med. OFC",0.3749,0.0256,0,0.2646,0.3325,0.3749,0.4497,0.4254
"R mid/post Insula",0.4854,0.0285,0,0.3628,0.4383,0.4854,0.5686,0.5415
"R PAG",0.2435,0.0241,0,0.1397,0.2036,0.2435,0.3138,0.291
"R PCC",0.416,0.0258,0,0.3052,0.3735,0.416,0.4912,0.4668
"R PCC/precuneus",0.3964,0.0265,0,0.2824,0.3527,0.3964,0.4738,0.4487
"R post. Caudate",0.4555,0.0267,0,0.3404,0.4113,0.4555,0.5335,0.5082
"R post. Putamen",0.4961,0.0269,0,0.3802,0.4516,0.4961,0.5747,0.5492
"R post. Thalamus",0.5415,0.028,0,0.4212,0.4953,0.5415,0.6232,0.5967
"R pre-SMA",0.433,0.026,0,0.3211,0.39,0.433,0.5089,0.4842
"R Ventral striatum",0.5716,0.0271,0,0.4551,0.5269,0.5716,0.6506,0.6249
