"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0027,0.0271,0.4564,-0.0549,-0.0467,-0.003,0.0428,0.0511
"L ant. Caudate",0.0022,0.0278,0.5276,-0.0519,-0.0429,0.0017,0.0486,0.0581
"L ant. dorsal Insula",-0.0076,0.0266,0.3835,-0.0596,-0.0512,-0.0077,0.0368,0.0451
"L ant. Hippocampus",-0.0153,0.0264,0.281,-0.0672,-0.0586,-0.0153,0.028,0.0364
"L ant. MCC",-0.0027,0.0271,0.4522,-0.0547,-0.0462,-0.0032,0.0426,0.0516
"L ant. Putamen",-0.003,0.0272,0.4456,-0.055,-0.0468,-0.0035,0.0427,0.0521
"L ant. Thalamus",0.003,0.0279,0.5324,-0.0502,-0.0416,0.0023,0.05,0.0595
"L ant. ventral Insula",-0.0043,0.0269,0.4329,-0.0564,-0.048,-0.0047,0.0402,0.049
"L BLBM Amygdala",-0.0193,0.0276,0.2408,-0.0734,-0.0644,-0.0193,0.0261,0.0346
"L CeMe Amygdala",-0.0157,0.027,0.2759,-0.0685,-0.06,-0.0159,0.0283,0.0377
"L Crus II",-0.0136,0.0265,0.2994,-0.0649,-0.0571,-0.0135,0.0298,0.0385
"L dlPFC",-0.0175,0.0268,0.2562,-0.0698,-0.0611,-0.0174,0.0265,0.035
"L Hippocampus body",-0.0157,0.0267,0.2771,-0.0688,-0.0601,-0.0153,0.0276,0.0362
"L Hippocampus tail",-0.011,0.0263,0.3348,-0.062,-0.0542,-0.0111,0.0322,0.0412
"L Hypothalamus",-0.0387,0.0323,0.1153,-0.1034,-0.0932,-0.038,0.0136,0.0227
"L lat. OFC",-0.0214,0.0268,0.2098,-0.0739,-0.0657,-0.0213,0.0228,0.0305
"L Lobule IX",-0.0194,0.0269,0.2346,-0.0725,-0.0643,-0.0192,0.0248,0.0328
"L med. OFC",-0.0258,0.0283,0.1787,-0.0834,-0.0736,-0.0246,0.0192,0.027
"L mid/post Insula",-5e-04,0.0278,0.4812,-0.0528,-0.0446,-0.0013,0.0461,0.0564
"L PAG",-0.0261,0.0279,0.1736,-0.0822,-0.0728,-0.0256,0.019,0.0275
"L PCC",-0.021,0.027,0.22,-0.075,-0.0658,-0.0207,0.0225,0.0306
"L PCC/precuneus",-0.0186,0.0269,0.245,-0.0715,-0.0629,-0.0184,0.0253,0.0336
"L post. Caudate",-0.0101,0.0265,0.3502,-0.0622,-0.0536,-0.0101,0.0334,0.0426
"L post. Putamen",-0.0063,0.0264,0.3996,-0.057,-0.0492,-0.0067,0.0376,0.0467
"L post. Thalamus",-3e-04,0.0274,0.4862,-0.0524,-0.0441,-0.001,0.0456,0.0555
"L pre-SMA",-0.0109,0.0266,0.3378,-0.062,-0.0538,-0.0112,0.0332,0.0422
"L Ventral striatum",-6e-04,0.0274,0.4826,-0.0527,-0.0449,-0.0011,0.0449,0.0546
"M PCC",-0.0123,0.0264,0.3202,-0.0639,-0.0558,-0.0121,0.031,0.0396
